locationname,type,final_address,Postcode,Latitude,Longitude
The Jewel of Harlem Centers,prek,"1990 Amsterdam Avenue, Manhattan NY 10032",10032,40.833829,-73.941339
P.S. 1 Courtlandt School,prek,"335 East 152nd Street, Bronx NY 10451",10451,40.818816,-73.91901
P.S. 5 Port Morris,prek,"564 Jackson Avenue, Bronx NY 10455",10455,40.813728,-73.908886
P.S. 18 John Peter Zenger,prek,"502 Morris Avenue, Bronx NY 10451",10451,40.816406,-73.92329
P.S. 25 Bilingual School,prek,"811 East 149th Street, Bronx NY 10455",10455,40.812619,-73.906063
P.S./M.S. 29 Melrose School,prek,"758 Courtlandt Avenue, Bronx NY 10451",10451,40.821515,-73.917279
P.S. 30 Wilton,prek,"510 East 141st Street, Bronx NY 10454",10454,40.80937,-73.917584
P.S./M.S. 31 The William Lloyd Garrison,prek,"250 East 156th Street, Bronx NY 10451",10451,40.82316,-73.921631
Just 4 Kids Kiddie Kollege,prek,"781 Castle Hill Avenue, Bronx NY 10473",10473,40.822846,-73.848932
P.S. 43 Jonas Bronck,prek,"165 Brown Place, Bronx NY 10454",10454,40.806351,-73.921196
P.S. 49 Willis Avenue,prek,"383 East 139th Street, Bronx NY 10454",10454,40.810085,-73.923102
P.S. 65 Mother Hale Academy,prek,"677 East 141st Street, Bronx NY 10454",10454,40.807335,-73.912731
P.S. 154 Jonathan D. Hyatt,prek,"333 East 135th Street, Bronx NY 10454",10454,40.808034,-73.926204
P.S. 157 Grove Hill,prek,"757 Cauldwell Avenue, Bronx NY 10456",10456,40.819258,-73.908553
P.S. 161 Juan Ponce De Leon School,prek,"628 Tinton Avenue, Bronx NY 10455",10455,40.814916,-73.905518
P.S. 179,prek,"468 East 140th Street, Bronx NY 10454",10454,40.809534,-73.919903
P.S. 277,prek,"519 Saint Anns Avenue, Bronx NY 10455",10455,40.813517,-73.913402
Concourse Village Elementary School,prek,"750 Concourse Village West, Bronx NY 10451",10451,40.823174,-73.923326
Young Leaders Elementary School,prek,"468 East 140th Street, Bronx NY 10454",10454,40.809534,-73.919903
St. Peter and Paul Parochial Elementary School,prek,"838 Brook Avenue, Bronx NY 10451",10451,40.822015,-73.910877
East Side House,prek,"201 Saint Anns Avenue, Bronx NY 10454",10454,40.805742,-73.918238
Concord Head Start/Early Learn Center,prek,"560 Concord Avenue, Bronx NY 10455",10455,40.813452,-73.907994
Betances Early Childhood Center (NYCHA),prek,"528 East 146th Street, Bronx NY 10455",10455,40.812728,-73.915397
Episcopal Social Services Head Start (Paul's House),prek,"500 Bergen Avenue, Bronx NY 10455",10455,40.814876,-73.918234
Iola Jordan Day Care,prek,"421 East 161st Street, Bronx NY 10451",10451,40.824002,-73.913179
East Side House,prek,"375 East 143rd Street, Bronx NY 10454",10454,40.812702,-73.921622
Children's Pride,prek,"414 Morris Avenue, Bronx NY 10451",10451,40.815528,-73.923923
East Side House,prek,"200 Alexander Avenue, Bronx NY 10454",10454,40.808753,-73.926081
South Bronx Head Start I,prek,"490 East 143rd Street, Bronx NY 10454",10454,40.811121,-73.917603
Salvation Army - Bronx Citadel,prek,"425 E 159th Street, Bronx NY 10451",10451,40.822685,-73.913636
Anna Lefkowitz DCC,prek,"690 Westchester Avenue, Bronx NY 10455",10455,40.816584,-73.907585
Highbridge Advisory Council Marshall England ELC,prek,"800 Concourse Village East, Bronx NY 10451",10451,40.82388,-73.919379
P.S. 204 Morris Heights,prek,"1780 Dr. Martin Luther King Jr. Boulevard, Bronx NY 10453",,,
"H.C.C. Children's Center, Inc.",prek,"475 Grand Concourse, Bronx NY 10451",10451,40.817954,-73.927599
Sunshine Day Care,prek,"416 Willis Avenue, Bronx NY 10454",10454,40.813069,-73.919978
A House on Beekman Preschool,prek,"390 Jackson Avenue, Bronx NY 10454",10454,40.809153,-73.910547
Sunshine LC of Morris Ave LLC,prek,"253 East 142nd Street, Bronx NY 10451",10451,40.814815,-73.925145
Harriet Tubman Sheltering Arm,prek,"565 Morris Avenue, Bronx NY 10451",10451,40.818074,-73.922457
Learning Through Play Pre-K Center at 105 Willis Avenue,prek,"105 Willis Avenue, Bronx NY 10454",10454,40.805788,-73.925307
Learning Through Play Pre-K Center at 535 Union Avenue,prek,"535 Union Avenue, Bronx NY 10455",10455,40.812067,-73.905569
P.S. 36 Unionport,prek,"1070 Castle Hill Avenue, Bronx NY 10472",10472,40.829344,-73.850428
P.S. 48 Joseph R. Drake,prek,"1290 Spofford Avenue, Bronx NY 10474",10474,40.814425,-73.886953
P.S. 62 Inocensio Casanova,prek,"660 Fox Street, Bronx NY 10455",10455,40.814031,-73.900609
P.S. 72 Dr. William Dorney,prek,"2951 Dewey Avenue, Bronx NY 10465",10465,40.822604,-73.818247
P.S. 75 School of Research and Discovery,prek,"984 Faile Street, Bronx NY 10459",10459,40.822719,-73.889435
P.S. 93 Albert G. Oliver,prek,"1535 Story Avenue, Bronx NY 10473",10473,40.821776,-73.876918
P.S. 138 Samuel Randall,prek,"2060 Lafayette Avenue, Bronx NY 10473",10473,40.822665,-73.853366
P.S. 140 The Eagle School,prek,"916 Eagle Avenue, Bronx NY 10456",10456,40.823289,-73.907948
P.S. 146 Edward Collins,prek,"968 Cauldwell Avenue, Bronx NY 10456",10456,40.825025,-73.906143
P.S. 182,prek,"601 Stickball Boulevard, Bronx NY 10473",10473,40.818228,-73.856302
P.S. 304 Early Childhood School,prek,"2750 Lafayette Avenue, Bronx NY 10465",10465,40.827471,-73.829753
P.S. 333 The Museum School,prek,"888 Rev J A Polite Avenue, Bronx NY 10459",10459,40.820403,-73.898912
Bronx Delta School,prek,"650 Hollywood Avenue, Bronx NY 10465",10465,40.826526,-73.818417
P.S. 583,prek,"1028 White Plains Road, Bronx NY 10472",10472,40.827029,-73.860034
The Greek American Institute of New York Inc,prek,"3573 Bruckner Boulevard, Bronx NY 10461",10461,40.848968,-73.828003
Holy Cross School,prek,"1846 Randall Avenue, Bronx NY 10473",10473,40.817305,-73.86069
Holy Family School,prek,"2169 Blackrock Ave, Bronx NY 10472",10472,40.828912,-73.851484
Our Lady of the Assumption School,prek,"1617 Parkview Avenue, Bronx NY 10461",10461,40.845475,-73.827018
St. Francis de Chantal School,prek,"2962 Harding Avenue, Bronx NY 10465",10465,40.816445,-73.813451
Saint Theresa,prek,"2872 St.Theresa Avenue, Bronx NY 10461",10461,40.849483,-73.833239
"Villa Maria Academy, Inc.",prek,"3335 Country Club Road, Bronx NY 10465",10465,40.841156,-73.817166
Manida (Center #1),prek,"711 Manida Street, Bronx NY 10474",10474,40.814758,-73.888477
LSSMNY: Early LIFE Children's Center 6,prek,"2125 Watson Avenue, Bronx NY 10472",10472,40.829501,-73.852614
East Bronx Day Care Center,prek,"1113 Colgate Avenue, Bronx NY 10472",10472,40.82629,-73.881509
Throggs Neck Early Learn Center,prek,"461 Swinton Avenue, Bronx NY 10465",10465,40.820332,-73.822263
LSSMNY: Early LIFE Children's Center 2,prek,"888 Westchester Avenue, Bronx NY 10459",10459,40.820809,-73.899389
"Providence Rest Child Day Care Center, Inc.",prek,"3310 Campbell Drive, Bronx NY 10465",10465,40.838253,-73.81747
Watson Avenue ECC,prek,"1880 Watson Avenue, Bronx NY 10472",10472,40.828307,-73.86156
Stepping Stone Day School,prek,"2826 Westchester Avenue, Bronx NY 10461",10461,40.844557,-73.83542
Prospect Early Childhood Center,prek,"730 Kelly Street, Bronx NY 10455",10455,40.816517,-73.899717
Blondell Joyner DCC,prek,"901 Tinton Avenue, Bronx NY 10456",10456,40.82168,-73.903568
Five Star DCC,prek,"3261 Third Avenue, Bronx NY 10456",10456,40.824489,-73.908528
Ivy League Early Learning Academy,prek,"4022 East Tremont Avenue, Bronx NY 10465",10465,40.819636,-73.817594
"Just 4 Kids Soundview Center, Inc.",prek,"214-216 Soundview Avenue, Bronx NY 10473",10473,40.809803,-73.855414
Gwendolyn Bland DC,prek,"749 East 163rd Street, Bronx NY 10456",10456,40.822957,-73.904108
Trabajamos Community Head Start,prek,"940 East 156th Street, Bronx NY 10455",10455,40.81646,-73.900226
Just 4 Kids Monsignor Scanlan,prek,"955 Hutchinson River Parkway, Bronx NY 10465",10475,40.868791,-73.821125
"Kiderific Nursery School, Inc.",prek,"1621 Pilgrim Avenue, Bronx NY 10461",10461,40.844085,-73.833769
Seabury Child Care Center,prek,"575 Soundview Avenue, Bronx NY 10473",10473,40.816875,-73.86141
Ciditty Kiddie Pre-K,prek,"1700 Seward Avenue, Bronx NY 10473",10473,40.818497,-73.868058
Cheer and Grow Learning Academy Corp.,prek,"1926 Cross Bronx Expressway, Bronx NY 10472",10472,40.832647,-73.859433
Blue Sky Group Family Day Care I Corp.,prek,"1045 Wheeler Avenue, Bronx NY 10472",10472,40.824729,-73.879236
P.S./M.S. 4 Crotona Park West,prek,"1701 Fulton Avenue, Bronx NY 10457",10457,40.840891,-73.898166
P.S. 28 Mount Hope,prek,"1861 Anthony Avenue, Bronx NY 10457",10457,40.848057,-73.903522
P.S. 42 Claremont,prek,"1537 Washington Avenue, Bronx NY 10457",10457,40.838288,-73.902987
P.S. 53 Basheer Quisim,prek,"360 East 168th Street, Bronx NY 10456",10456,40.832866,-73.911418
Bronx Early Learning Center,prek,"1887 Bathgate Avenue, Bronx NY 10457",10457,40.846391,-73.897297
P.S. 55 Benjamin Franklin,prek,"450 Saint Paul's Place, Bronx NY 10456",10456,40.836404,-73.905014
P.S. 58,prek,"459 East 176th Street, Bronx NY 10457",10457,40.846162,-73.899264
P.S. 63 Author's Academy,prek,"1260 Franklin Avenue, Bronx NY 10456",10456,40.830995,-73.902705
P.S. 73 Bronx,prek,"1020 Anderson Avenue, Bronx NY 10452",10452,40.832706,-73.926838
P.S. 109 Sedgwick,prek,"1771 Popham Avenue, Bronx NY 10453",10453,40.851414,-73.918533
P.S. 110 Theodore Schoenfeld,prek,"580 Crotona Park South, Bronx NY 10456",10456,40.835286,-73.900751
P.S. 126 Dr Marjorie H Dunbar,prek,"175 West 166th Street, Bronx NY 10452",10452,40.835784,-73.928324
P.S. 163 Arthur A. Schomburg,prek,"2075 Webster Avenue, Bronx NY 10457",10457,40.851741,-73.898493
P.S. 199 The Shakespeare School,prek,"1449 Shakespeare Avenue, Bronx NY 10452",10452,40.842943,-73.920563
P.S. 236 Langston Hughes,prek,"1871 Walton Avenue, Bronx NY 10453",10453,40.848899,-73.909528
The New American Academy at Roberto Clemente State Park,prek,"275 Harlem River Park Bridge, Bronx NY 10453",10453,40.852536,-73.921467
The Family School,prek,"1116 Sheridan Avenue, Bronx NY 10456",10456,40.831992,-73.91796
Grant Avenue Elementary School,prek,"250 East 164th Street, Bronx NY 10456",10456,40.828696,-73.917668
Mount Eden Children's Academy,prek,"1501 Jerome Avenue, Bronx NY 10452",10452,40.842495,-73.916082
Christ the King School,prek,"1345 Grand Concourse, Bronx NY 10452",10452,40.837408,-73.914889
St. Angela Merici School,prek,"266 East 163rd Street, Bronx NY 10451",10451,40.827312,-73.917753
St. Joseph School,prek,"1946 Bathgate Avenue, Bronx NY 10457",10457,40.847722,-73.896673
New Covenant Christian School,prek,"1925 Grand Concourse, Bronx NY 10453",10453,40.850065,-73.905522
Highbridge Advisory Council Early Childhood Center #1,prek,"1594 Townsend Avenue, Bronx NY 10452",10452,40.844274,-73.913633
Ready Set Learn,prek,"3480 Third Avenue, Bronx NY 10456",10456,40.830169,-73.906233
Mid Bronx CCRP ECC 4,prek,"1020 Summit Avenue, Bronx NY 10452",10452,40.833776,-73.929869
1332 Fulton Ave DCC,prek,"1332 Fulton Avenue, Bronx NY 10456",10456,40.833147,-73.902814
Highbridge Advisory Council Early Childhood Center #3,prek,"1399 Ogden Avenue, Bronx NY 10452",10452,40.842292,-73.924276
Highbridge Advisory Council DCC (Nelson Avenue),prek,"1181 Nelson Avenue, Bronx NY 10452",10452,40.837232,-73.925706
Richard H. Mangum Early Learning Center,prek,"383 East 162nd Street, Bronx NY 10451",10451,40.824952,-73.913944
Sharon Baptist - Center II,prek,"279 East Burnside Avenue, Bronx NY 10457",10457,40.851154,-73.901891
Labor Bathgate Community CCC,prek,"1638 Anthony Avenue, Bronx NY 10457",10457,40.842662,-73.904889
WHEDco Early Childhood Discovery Center,prek,"50 East 168th Street, Bronx NY 10452",10452,40.836725,-73.919292
Sharon Baptist - Center I,prek,"507 East 165th Street, Bronx NY 10456",10456,40.826655,-73.908215
Mid Bronx Senior Citizen Center,prek,"100 East Mount Eden Avenue, Bronx NY 10452",10452,40.843541,-73.912817
Aleene Logan Day Care,prek,"1450 Webster Avenue, Bronx NY 10456",10456,40.837646,-73.906504
Louis A. Fickling Child Development Center,prek,"1240 Webster Avenue, Bronx NY 10456",10456,40.832675,-73.909388
Help II,prek,"285 East 171st Street, Bronx NY 10457",10457,40.838859,-73.910297
Highbridge Advisory Council Doris East Stone Day Care,prek,"1165 University Avenue, Bronx NY 10452",10452,40.837198,-73.928159
Highbridge Advisory Council Head Start,prek,"880 River Avenue, Bronx NY 10452",10452,40.828333,-73.925625
Walton (Center #5),prek,"1871 Walton Avenue, Bronx NY 10453",10453,40.848899,-73.909528
Promesa Multi-Cultural DCC II,prek,"300 East 175th Street, Bronx NY 10457",10457,40.84663,-73.904558
South Bronx Head Start II,prek,"141 Featherbed Lane, Bronx NY 10452",10452,40.846198,-73.920245
South Bronx III,prek,"1458 Webster Avenue, Bronx NY 10456",10456,40.837926,-73.906331
BronxWorks,prek,"1130 Grand Concourse, Bronx NY 10456",10456,40.832331,-73.91959
Tremont Monterey Day Care Center II,prek,"1600 Bathgate Avenue, Bronx NY 10457",10457,40.839379,-73.901215
Sharon Baptist - Center IV,prek,"1925 Bathgate Avenue, Bronx NY 10457",10457,40.847442,-73.896858
Seventh Avenue Center for Family Services,prek,"1646 Montgomery Avenue, Bronx NY 10453",10453,40.848772,-73.92005
Mid Bronx CCRP ECC 1,prek,"1125 Grand Concourse, Bronx NY 10452",10452,40.832627,-73.919398
Fulton (Center #4),prek,"1717 Fulton Avenue, Bronx NY 10457",10457,40.841596,-73.897767
Sacred Heart Head Start,prek,"95 West 168th Street, Bronx NY 10452",10452,40.838321,-73.924537
Trabajamos Community Head Start,prek,"1905 Morris Avenue, Bronx NY 10453",10453,40.849902,-73.907951
3467 Ready Set Learn,prek,"3467 Third Avenue, Bronx NY 10456",10456,40.829908,-73.906374
New Covenant Christian School,prek,"1179 Boston Road, Bronx NY 10456",10456,40.828942,-73.903004
Fort George Universal Pre-K,prek,"489 St. Paul's Place, Bronx NY 10456",10456,40.836098,-73.903825
United Bronx Parents,prek,"1332 Fulton Avenue, Bronx NY 10456",10456,40.833147,-73.902814
LA PENINSULA 175 Street,prek,"499 East 175th Street, Bronx NY 10457",10457,40.844476,-73.898533
BronxWorks,prek,"1472 Montgomery Avenue, Bronx NY 10453",10453,40.84728,-73.921252
Fabiana Day Care Academy Universal Pre-K,prek,"937 Teller Avenue, Bronx NY 10451",10451,40.82612,-73.915561
Promesa Head Start,prek,"1650 Undercliff Avenue, Bronx NY 10453",10453,40.849339,-73.921803
Jesus Loves the Little Angels 2,prek,"1500 Morris Avenue #B, Bronx NY 10457",10457,40.840336,-73.909923
Garden of Learning and Discovery Pre-K Center at 1434 Ogden Avenue,prek,"1434 Ogden Avenue, Bronx NY 10452",10452,40.84337,-73.923736
P.S. 86 Kingsbridge Heights,prek,"2756 Reservoir Avenue, Bronx NY 10468",10468,40.869835,-73.89874
P.S. 3 Raul Julia Micro Society,prek,"2100 Lafontaine Avenue, Bronx NY 10457",10457,40.849897,-73.892289
P.S. 9 Ryer Avenue Elementary School,prek,"230 East 183rd Street, Bronx NY 10458",10458,40.857067,-73.898936
"P.S./M.S. 20 P.O. George J. Werdann, III",prek,"3050 Webster Avenue, Bronx NY 10467",10467,40.870002,-73.878875
P.S. 23 The New Children's School,prek,"2151 Washington Avenue, Bronx NY 10457",10457,40.85294,-73.894742
P.S. 32 Belmont,prek,"690 East 183rd Street, Bronx NY 10458",10458,40.852103,-73.885935
P.S. 33 Timothy Dwight,prek,"2424 Jerome Avenue, Bronx NY 10468",10468,40.86185,-73.90176
P.S. 51 Bronx New School,prek,"695 East 182nd Street, Bronx NY 10457",10457,40.850666,-73.886996
P.S./I.S. 54,prek,"2703 Webster Avenue, Bronx NY 10458",10458,40.864527,-73.887829
P.S. 59 The Community School of Technology,prek,"2185 Bathgate Avenue, Bronx NY 10457",10457,40.852774,-73.893524
Bedford Park Elementary School,prek,"3177 Webster Avenue, Bronx NY 10467",10467,40.872551,-73.875374
P.S. 85 Great Expectations,prek,"2400 Marion Avenue, Bronx NY 10458",10458,40.8591,-73.894946
"Little Stars Too, Inc.",prek,"1083 Allerton Avenue, Bronx NY 10469",10469,40.865461,-73.856406
P.S. 207,prek,"3030 Godwin Terrace, Bronx NY 10463",10463,40.878322,-73.906556
P.S. 209,prek,"313 East 183rd Street, Bronx NY 10458",10458,40.856723,-73.897885
P.S. 226,prek,"1950 Sedgwick Avenue, Bronx NY 10453",10453,40.856586,-73.916198
P.S. 310 Marble Hill,prek,"260 West Kingsbridge Road, Bronx NY 10463",10463,40.872895,-73.905244
P.S. 340,prek,"25 West 195th Street, Bronx NY 10468",10468,40.869007,-73.89749
Ampark Neighborhood,prek,"3961 Hillman Avenue, Bronx NY 10463",10463,40.882898,-73.891256
P.S. 360,prek,"2880 Kingsbridge Terrace, Bronx NY 10463",10463,40.874411,-73.902573
School for Environmental Citizenship,prek,"125 East 181st Street, Bronx NY 10453",10453,40.854872,-73.903458
P.S. 396,prek,"1930 Andrews Avenue, Bronx NY 10453",10453,40.854701,-73.913197
Amalgamated Nursery School,prek,"3980 Orloff Avenue, Bronx NY 10463",10463,40.884167,-73.89244
Our Lady of Mount Carmel,prek,"2465 Bathgate Avenue, Bronx NY 10458",10458,40.858243,-73.888671
Saint Ann - Our Lady of Mount Carmel Annex,prek,"260 East 207th Street, Bronx NY 10467",10467,40.875589,-73.877784
GRYC Little Stars at Fairview,prek,"776 Fairview Avenue, Queens NY 11385",11385,40.704976,-73.902925
Saint Brendan School,prek,"268 East 207th Street, Bronx NY 10467",10467,40.875575,-73.87761
St. Gabriel School,prek,"590 West 235th Street, Bronx NY 10463",10463,40.885921,-73.911427
Saint John School,prek,"3143 Kingsbridge Avenue, Bronx NY 10463",10463,40.880542,-73.905873
Saint Margaret of Cortona,prek,"452 West 260th Street, Bronx NY 10471",10471,40.908305,-73.902903
St. Simon Stock,prek,"2195 Valentine Avenue, Bronx NY 10457",10457,40.854893,-73.898983
Trabajamos Community Head Start,prek,"1997 Bathgate Avenue, Bronx NY 10457",10457,40.848824,-73.896075
Northeast Bronx Day Care Center (Susan Wagner),prek,"5401 Post Road, Bronx NY 10471",10471,40.901354,-73.897845
Be Above 52,prek,"1810 Davidson Avenue, Bronx NY 10453",10453,40.849425,-73.912268
"Concourse House, HDFC",prek,"2348 Webster Avenue, Bronx NY 10458",10458,40.857603,-73.894699
Harry H. Gordon School (NYL),prek,"2465 Bathgate Avenue, Bronx NY 10458",10458,40.858243,-73.888671
Bronx Day Care Center Inc.,prek,"559 East Tremont Avenue, Bronx NY 10457",10457,40.846515,-73.894944
"Saint Jemuel Group Family Day Care, Inc.",prek,"2836 Webb Avenue, Bronx NY 10468",10468,40.87299,-73.900734
Riverdale Nursery School And Family Center,prek,"3816 Waldo Avenue, Bronx NY 10463",10463,40.887742,-73.90362
Kingsbridge Heights Community Center,prek,"295 West 231st Street, Bronx NY 10463",10463,40.880698,-73.908162
Trabajamos Community Head Start,prek,"2167 University Avenue, Bronx NY 10453",10453,40.858088,-73.90914
Mosholu Montefiore - Van Cortlandt,prek,"3880 Sedgwick Avenue, Bronx NY 10463",10463,40.882997,-73.894008
St. Nicholas of Tolentine Head Start,prek,"2331 University Avenue, Bronx NY 10468",10468,40.8613,-73.906258
Belmont Community Day Care Center,prek,"2340 Cambreleng Avenue, Bronx NY 10458",10458,40.853678,-73.885657
Brenda's Playschool,prek,"3930 Bailey Avenue, Bronx NY 10463",10463,40.885333,-73.895053
Kingsbridge Heights Community Center,prek,"3101 Kingsbridge Terrace, Bronx NY 10463",10463,40.877505,-73.90033
Marble Hill Nursery School,prek,"5470 Broadway, Bronx NY 10463",10463,40.876363,-73.907343
MARC Academy and Family Center,prek,"2105 Jerome Avenue, Bronx NY 10453",10453,40.854877,-73.906397
Mosholu Montefiore Community Center - Northside Annex,prek,"3512 Dekalb Avenue, Bronx NY 10467",10467,40.882728,-73.88006
Child Development Center of Mosholu Montefiore CC,prek,"3450 DeKalb Avenue, Bronx NY 10467",10467,40.881486,-73.881226
"Riverdale Neighborhood House, Inc.",prek,"5521 Mosholu Avenue, Bronx NY 10471",10471,40.903039,-73.90375
Riverdale Presbyterian Church and Nursery School,prek,"4765 Henry Hudson Parkway West, Bronx NY 10471",10471,40.896258,-73.908314
Riverdale Temple Nursery School,prek,"4545 Independence Avenue, Bronx NY 10471",10471,40.891762,-73.912208
Riverdale Y Early Childhood Program,prek,"5625 Arlington Avenue, Bronx NY 10471",10471,40.905009,-73.907133
Spuyten Duyvil Preschool,prek,"3041 Kingsbridge Avenue, Bronx NY 10463",10463,40.878954,-73.907401
Saint Dominic_™s TORCH,prek,"2340 Andrews Avenue, Bronx NY 10468",10468,40.862282,-73.906589
Salvation Army - Tremont,prek,"2121 Washington Avenue, Bronx NY 10457",10457,40.852013,-73.895268
1199 Future of America Learning Center,prek,"2500 Creston Avenue, Bronx NY 10468",10468,40.862953,-73.897948
Happy Days at Riverdale,prek,"2975 Independence Avenue, Bronx NY 10463",10463,40.882892,-73.917344
Lehman College Childcare Center,prek,"250 Bedford Park Boulevard West_, Bronx NY 10468",10468,40.875028,-73.89286
Saint Dominic_™s TORCH,prek,"2195 Valentine Avenue, Bronx NY 10457",10457,40.854893,-73.898983
Tolentine Zeiser Community Life Center,prek,"2340 Andrews Avenue, Bronx NY 10468",10468,40.862282,-73.906589
Lion of Judah Christian Academy (LOJCA),prek,"2336 Andrews Avenue, Bronx NY 10468",10468,40.8622,-73.906662
"Bright Star Day Care at Rochambeau, Inc.",prek,"3130 Rochambeau Avenue, Bronx NY 10467",10467,40.874134,-73.88031
Bronx Community College Early Childhood Center,prek,"2010 Sedgwick, Bronx NY 10468",,,
"MARC Academy and Family Center, Inc.",prek,"2863 Webster Avenue, Bronx NY 10458",10458,40.866931,-73.884217
Miss Francine Day School II,prek,"2169 Grand Concourse, Bronx NY 10453",10453,40.855079,-73.901484
St. Martin of Tours Head Start,prek,"695 East 182nd Street, Bronx NY 10457",10457,40.850666,-73.886996
Bedrock Preschool,prek,"3220 Arlington Avenue, Bronx NY 10463",10463,40.884593,-73.912312
Reach One To Teach One,prek,"5480 Broadway, Bronx NY 10463",10463,40.876558,-73.906949
Lil Inventors - University Avenue,prek,"75 West 190th Street, Bronx NY 10468",10468,40.865049,-73.902822
Little Scholars Early Development Center,prek,"15 West 176th Street, Bronx NY 10453",10453,40.84838,-73.91267
Yearling Nursery School,prek,"604 West 227th Street, Bronx NY 10463",10463,40.880306,-73.915583
The Learning Experience,prek,"3210 Riverdale Avenue, Bronx NY 10463",10463,40.882995,-73.908169
Rose Hill Pre-K Center at 2512 Marion Avenue,prek,"2512 Marion Avenue, Bronx NY 10458",10458,40.861316,-73.893236
Rose Hill Pre-K Center at 3605 Sedgwick Avenue,prek,"3605 Sedgwick Avenue, Bronx NY 10463",10463,40.881542,-73.896483
Rose Hill Pre-K Center at 3560 Webster Avenue,prek,"3560 Webster Avenue, Bronx NY 10467",10467,40.88086,-73.870646
Rose Hill Pre-K Center at 5500 Broadway,prek,"5500 Broadway, Bronx NY 10463",10463,40.877062,-73.906185
Rose Hill Pre-K Center at 2490-2500 Webster Avenue,prek,"2490-2500 Webster Avenue, Bronx NY 10458",10458,40.860848,-73.892224
P.S. 16 Wakefield,prek,"4550 Carpenter Avenue, Bronx NY 10470",10470,40.902205,-73.854829
P.S. 68 Bronx,prek,"4011 Monticello Avenue, Bronx NY 10466",10466,40.891732,-73.838471
P.S. 78 Anne Hutchinson,prek,"1400 Needham Avenue, Bronx NY 10469",10469,40.878577,-73.851163
P.S. 89 Bronx,prek,"980 Mace Avenue, Bronx NY 10469",10469,40.863055,-73.859387
P.S. 106 Parkchester,prek,"1514 Olmstead Avenue, Bronx NY 10462",10462,40.836374,-73.855175
P.S. 108 Philip J. Abinanti,prek,"1166 Neill Avenue, Bronx NY 10461",10461,40.854726,-73.853227
For Kids Only,prek,"904 Morris Park Avenue, Bronx NY 10462",10462,40.846746,-73.85923
P.S. 111 Seton Falls,prek,"3740 Baychester Avenue, Bronx NY 10466",10466,40.884343,-73.840254
P.S. 112 Bronxwood,prek,"1925 Schieffelin Avenue, Bronx NY 10466",10466,40.885008,-73.843193
P.S. 121 Throop,prek,"2750 Throop Avenue, Bronx NY 10469",10469,40.86608,-73.850982
P.S. 153 Helen Keller,prek,"650 Baychester Avenue, Bronx NY 10475",10475,40.872614,-73.833698
P.S. 160 Walt Disney,prek,"4140 Hutchinson River Parkway East, Bronx NY 10475",10475,40.864676,-73.824303
Baychester Academy,prek,"3500 Edson Avenue, Bronx NY 10466",10466,40.881153,-73.839755
Cornerstone Academy for Social Action,prek,"3441 Steenwick Avenue, Bronx NY 10475",10475,40.883025,-73.830366
Young Voices Academy of the Bronx,prek,"800 Lydig Avenue, Bronx NY 10462",10462,40.854415,-73.863732
Linden Tree Elementary School,prek,"1560 Purdy Street, Bronx NY 10462",10462,40.837931,-73.853524
Harry H. Gordon School Annex (NYL),prek,"1180 East 214th Street, Bronx NY 10469",10469,40.876006,-73.851523
Howard Haber Early Learning Center,prek,"2300 Westchester Avenue, Bronx NY 10462",10462,40.835725,-73.847942
Holy Rosary School,prek,"1500 Arnow Avenue, Bronx NY 10469",10469,40.867571,-73.842626
Immaculate Conception School,prek,"760 East Gun Hill Road, Bronx NY 10467",10467,40.876633,-73.864113
Nativity of Our Blessed Lady,prek,"3893 Dyre Avenue, Bronx NY 10466",10466,40.888925,-73.831306
Our Lady of Grace School,prek,"3981 Bronxwood Avenue, Bronx NY 10466",10466,40.886209,-73.8546
Regent School,prek,"719 East 216th Street, Bronx NY 10467",10467,40.881188,-73.863127
Saint Clare of Assisi School,prek,"1911 Hone Avenue, Bronx NY 10461",10461,40.851206,-73.856534
Saint Francis of Assisi School,prek,"4300 Baychester Avenue, Bronx NY 10466",10466,40.897077,-73.84524
Saint Francis Xavier School,prek,"1711 Haight Avenue, Bronx NY 10461",10461,40.848524,-73.852261
St. Helena School,prek,"2050 Benedict Avenue, Bronx NY 10462",10462,40.834474,-73.856346
Saint Lucy School,prek,"830 Mace Avenue, Bronx NY 10467",10467,40.863117,-73.862445
St. Raymond Elementary,prek,"2380 East Tremont Avenue, Bronx NY 10462",10462,40.842332,-73.854483
The Learning Tree,prek,"801 Bartholdi Street, Bronx NY 10467",10467,40.873827,-73.862622
UCP/NYC's Bronx Children's Program,prek,"1770 Stillwell Avenue, Bronx NY 10469",10469,40.858063,-73.834696
Little Stars 3,prek,"1420 Burke Avenue, Bronx NY 10469",10469,40.87233,-73.846506
Westchester Tremont DCC,prek,"2547 East Tremont Avenue, Bronx NY 10461",10461,40.843024,-73.848478
Bronx House 1,prek,"990 Pelham Parkway South, Bronx NY 10461",10461,40.856804,-73.860354
Bronx House 2,prek,"2222 Wallace Avenue, Bronx NY 10467",10467,40.858343,-73.864649
"Little Stars School, Inc.",prek,"4063 Edson Avenue, Bronx NY 10466",10466,40.891591,-73.844128
North Bronx NCNW CDC,prek,"4035 White Plains Road, Bronx NY 10466",10466,40.889536,-73.859522
United Educare Preschool,prek,"3950 Bronxwood Avenue, Bronx NY 10466",10466,40.885455,-73.854992
