locationname,type,final_address,Postcode,Latitude,Longitude
P.S. 183 Robert L. Stevenson,prek,"419 East 66th Street, Manhattan NY 10065",10065,40.763736,-73.95815
P.S. 198 Isador E. Ida Straus,prek,"1700 Third Avenue, Manhattan NY 10128",10128,40.784826,-73.949611
P.S. 212 Midtown West,prek,"328 West 48th Street, Manhattan NY 10036",10036,40.761448,-73.988019
P.S./I.S. 217 Roosevelt Island,prek,"645 Main Street, Manhattan NY 10044",10044,40.763894,-73.947916
Ella Baker School,prek,"317 East 67th Street, Manhattan NY 10065",10065,40.765359,-73.960059
The River School,prek,"425 East 35th Street, Manhattan NY 10016",10016,40.74428,-73.972591
P.S. 290 Manhattan New School,prek,"311 East 82nd Street, Manhattan NY 10028",10028,40.775078,-73.953096
Sixth Avenue Elementary School,prek,"590 Sixth Avenue, Manhattan NY 10011",10011,40.739178,-73.9955
The Peck Slip School,prek,"1 Peck Slip, Manhattan NY 10038",10038,40.708766,-74.002406
P.S. 69 Journey Prep School,prek,"560 Thieriot Avenue, Bronx NY 10473",10473,40.816693,-73.860904
The 47 American Sign Language & English Lower School,prek,"223 East 23rd Street, Manhattan NY 10010",10010,40.738548,-73.982455
Spruce Street School,prek,"12 Spruce Street, Manhattan NY 10018",10038,40.711313,-74.005472
Cassidy's Place,prek,"419 East 86th Street, Manhattan NY 10028",10028,40.776514,-73.948491
Guardian Angel,prek,"193 10th Avenue, Manhattan NY 10011",10011,40.746718,-74.00489
Lenox Hill Neighborhood House,prek,"331 East 70th Street, Manhattan NY 10021",10021,40.766925,-73.95795
Manhattan Nursery School,prek,"38 West 32nd Street, Manhattan NY 10001",10001,40.747889,-73.987253
Imagine Early Learning Center at Vets Kids,prek,"423 East 23rd Street, Manhattan NY 10010",10010,40.73647,-73.977732
Imagine Early Learning Center at East 97th Street,prek,"60-62 East 97th Street, Manhattan NY 10029",10029,40.787567,-73.952888
Battery Park City Day Nursery,prek,"215 South End Avenue, Manhattan NY 10280",10280,40.709523,-74.016679
Hamilton Madison House EarlyLearn Center 2,prek,"60 Catherine Street, Manhattan NY 10038",10038,40.711566,-73.99684
Grand St Settlement Dual Center #1,prek,"60 Essex Street, Manhattan NY 10002",10002,40.717011,-73.988987
Hudson Guild Children's Center I,prek,"441 West 26th Street, Manhattan NY 10001",10001,40.749196,-74.001815
"Chinatown Day Care Center, Inc.",prek,"35 Division Street, Manhattan NY 10002",10002,40.714143,-73.995787
Chinese Community Concerns Corp.,prek,"180 Mott Street, Manhattan NY 10012",10012,40.7205,-73.995895
Education Alliance - East Broadway,prek,"197 East Broadway, Manhattan NY 10002",10002,40.714219,-73.988219
Bellevue-Educare Childcare Center,prek,"462 First Avenue, Manhattan NY 10016",10016,40.739173,-73.976862
BMCC Early Childhood Center,prek,"199 Chambers Street, Manhattan NY 10013",10007,40.716838,-74.012117
Chung Pak Day Care Center,prek,"125 Walker Street, Manhattan NY 10013",10013,40.717451,-73.99982
Eisman Day Nursery,prek,"1794 First Avenue, Manhattan NY 10128",10128,40.781201,-73.946206
YWCA-NYC Polly Dodge Early Learning Center,prek,"538 West 55th Street, Manhattan NY 10019",10019,40.768547,-73.991278
Garment Industry Day Care Center,prek,"115 Chrystie Street, Manhattan NY 10002",10002,40.718647,-73.993586
Hamilton Madison House EarlyLearn Center 4,prek,"77 Market Street, Manhattan NY 10002",10002,40.710781,-73.994178
Hamilton Madison House EarlyLearn Center 6,prek,"129 Fulton Street, Manhattan NY 10038",10038,40.710105,-74.007495
Victoria Children's Group,prek,"230 Grand Street, Manhattan NY 10013",10013,40.718625,-73.995249
Roosevelt Island Day Nursery,prek,"4 River Road, Manhattan NY 10044",10044,40.764481,-73.9474
Sacred Heart Parochial,prek,"456 West 52nd Street, Manhattan NY 10019",10019,40.765387,-73.989603
Lexington Children's Center,prek,"115 East 98th Street, Manhattan NY 10029",10029,40.787637,-73.951057
CCLC at 4 NY Plaza,prek,"4 NY Plaza, Manhattan NY 10004",10004,40.702373,-74.011325
Center Annex (Tribeca Early Childhood Center),prek,"21 Saint John's Lane, Manhattan NY 10013",10013,40.721493,-74.005758
Childcare Partners NY West,prek,"20 West Street, Manhattan NY 10004",10004,40.706358,-74.016151
Creative Steps Early Childhood Center,prek,"4 Washington Square Village, Manhattan NY 10012",10012,40.727126,-73.997023
NY Preschool TriBeCa,prek,"88 Leonard Street, Manhattan NY 10013",10013,40.717162,-74.004679
Victoria Children's Center,prek,"323 Grand Street, Manhattan NY 10002",10002,40.717159,-73.990596
Manhattan Schoolhouse,prek,"1608 First Avenue, Manhattan NY 10028",10028,40.775266,-73.950539
Vanderbilt YMCA,prek,"224 East 47th Street, Manhattan NY 10017",10017,40.753634,-73.971418
District 2 Pre-K Center at 2-26 Washington Street,prek,"2-26 Washington Street, Manhattan NY 10004",10004,40.705137,-74.015585
District 2 Pre-K Center at 425 East 35th Street,prek,"425 East 35th Street, Manhattan NY 10016",10016,40.74428,-73.972591
District 2 Pre-K Center at 590 Sixth Avenue,prek,"590 Sixth Avenue, Manhattan NY 10011",10011,40.739178,-73.9955
District 2 Pre-K Center at P.S. 343 The Peck Slip School,prek,"1 Peck Slip, Manhattan NY 10038",10038,40.708766,-74.002406
District 2 Pre-K Center at 52 Chambers Street,prek,"52 Chambers Street, Manhattan NY 10007",10007,40.713814,-74.00557
District 2 Pre-K Center at 2 Lafayette Street,prek,"10 Reade Street, Manhattan NY 10007",10007,40.713899,-74.004163
P.S. 9 Sarah Anderson,prek,"100 West 84th Street, Manhattan NY 10024",10024,40.785287,-73.97343
P.S. 76 A. Philip Randolph,prek,"220 West 121st Street, Manhattan NY 10027",10027,40.806768,-73.951061
P.S. 84 Lillian Weber,prek,"32 West 92nd Street, Manhattan NY 10025",10025,40.789526,-73.967574
P.S. 87 William Sherman,prek,"160 West 78th Street, Manhattan NY 10024",10024,40.781958,-73.977638
P.S. 145 The Bloomingdale School,prek,"150 West 105th Street, Manhattan NY 10025",10025,40.799178,-73.964842
P.S. 149 Sojourner Truth,prek,"41 West 117th Street, Manhattan NY 10026",10026,40.802136,-73.947828
P.S. 163 Alfred E. Smith,prek,"163 West 97th Street, Manhattan NY 10025",10025,40.794264,-73.968706
P.S. 165 Robert E. Simon,prek,"234 West 109th Street, Manhattan NY 10025",10025,40.802917,-73.965613
P.S. 180 Hugo Newman,prek,"370 West 120th Street, Manhattan NY 10027",10027,40.807843,-73.955569
P.S. 185 The Early Childhood Discovery and Design Magnet School,prek,"20 West 112th Street, Manhattan NY 10026",10026,40.798511,-73.949251
P.S. 191 The Riverside School for Makers and Artists,prek,"300 West 61St Street, Manhattan NY 10023",10023,40.772883,-73.989609
P.S. 242 The Young Diplomats Magnet Academy,prek,"134 West 122nd Street, Manhattan NY 10027",10027,40.8063,-73.948013
P.S. 452,prek,"210 West 61st Street, Manhattan NY 10023",10023,40.771925,-73.987328
Ascension School,prek,"220 West 108th Street, Manhattan NY 10025",10025,40.802071,-73.965567
Corpus Christi,prek,"535 West 121st Street, Manhattan NY 10027",10027,40.810856,-73.960718
Wake-Eden Christian Academy,prek,"2074 Strang Avenue, Bronx NY 10466",10466,40.890773,-73.839801
Goddard Riverside Preschool at W 83rd 2,prek,"128 West 83rd Street, Manhattan NY 10024",10024,40.784949,-73.974596
Child Center of NY,prek,"169 West 87th Street, Manhattan NY 10024",10024,40.78793,-73.973483
Children's Aid Society Milbank Early Childhood Program,prek,"14-32 West 118th Street, Manhattan NY 10026",10026,40.802278,-73.946257
Goddard Riverside Head Start Center at West 95th Street 4,prek,"70 West 95th Street, Manhattan NY 10025",10025,40.791754,-73.967013
Bloomingdale Family Program I,prek,"125 West 109th Street, Manhattan NY 10025",10025,40.801565,-73.962367
Bloomingdale Family Program 2,prek,"171 West 107th Street, Manhattan NY 10025",10025,40.800701,-73.964217
Bloomingdale Family Program III,prek,"987 Columbus Avenue, Manhattan NY 10025",10025,40.80083,-73.961696
Harlem Gems at P.S. 149,prek,"41 West 117th Street, Manhattan NY 10026",10026,40.802136,-73.947828
Children's Aid Society Frederick Douglass ECP,prek,"885 Columbus Avenue, Manhattan NY 10025",10025,40.797762,-73.963944
Citizens Care DCC 1,prek,"131 Saint Nicholas Avenue, Manhattan NY 10026",10026,40.803994,-73.952721
Open Door CCC,prek,"820 Columbus Avenue, Manhattan NY 10025",10025,40.795506,-73.965603
Harlem Children's Zone Head Start,prek,"60 West 117th Street, Manhattan NY 10026",10026,40.802263,-73.948172
Mabel Barrett Fitzgerald DCC,prek,"243 West 64th Street, Manhattan NY 10023",10023,40.774214,-73.986937
East Calvary DCC,prek,"1 West 112th Street, Manhattan NY 10026",10026,40.798159,-73.948363
Goddard Riverside Day Care 1,prek,"114 West 91st Street, Manhattan NY 10025",10024,40.789999,-73.970644
Milestones UWS,prek,"319 West 74th Street, Manhattan NY 10023",10023,40.78132,-73.983953
Community Life Center 2,prek,"15 Mt Morris Park West, Manhattan NY 10027",10027,40.80483,-73.945475
Hudson Guild,prek,"206 West 64th Street, Manhattan NY 10023",10023,40.773624,-73.985584
Finger Painted Hands,prek,"126 West 83rd Street, Manhattan NY 10024",10024,40.784933,-73.974557
UCP of NYC Manhattan UPK,prek,"80 West End Avenue, Manhattan NY 10023",10023,40.774469,-73.987782
River Park Nursery School,prek,"711 Amsterdam Avenue, Manhattan NY 10025",10025,40.793032,-73.971097
Play Together NYC Preschool,prek,"270 West 84th Street, Manhattan NY 10024",10024,40.787335,-73.978286
