printedschoolname,type,address,Postcode,Latitude,Longitude,score
M.S. 297,middle,"75 Morton Street, Manhattan NY 10014",10014,40.730999,-74.007191,
NYC Lab Middle School for Collaborative Studies,middle,"333 West 17th Street, Manhattan NY 10011",10011,40.742129,-74.002198,
"P.S. 347_ì""47"" The American Sign Language and English Lower School",middle,"223 East 23rd Street, Manhattan NY 10010",10010,40.738548,-73.982455,
Spruce Street School,middle,"12 Spruce Street, Manhattan NY 10038",10038,40.711313,-74.005472,
Institute For Collaborative Education,middle,"345 East 15th Street, Manhattan NY 10003",10003,40.732447,-73.983031,
School of the Future,middle,"127 East 22nd Street, Manhattan NY 10010",10010,40.738952,-73.985479,
Quest To Learn,middle,"351 West 18th Street, Manhattan NY 10011",10011,40.742867,-74.002136,
"Ballet Tech, NYC Public School for Dance",middle,"890 Broadway, Manhattan NY 10003",10003,40.73859,-73.989911,
Life Sciences Secondary School,middle,"320 East 96th Street, Manhattan NY 10128",10128,40.783625,-73.945637,
Lower Manhattan Community Middle School (M.S. 896),middle,"26 Broadway, Manhattan NY 10004",10004,40.70568,-74.013302,
City Knoll Middle School,middle,"425 West 33rd Street, Manhattan NY 10001",10001,40.753091,-73.99764,
The Judith K. Weiss Woodlawn School (P.S. 19),middle,"4318 Katonah Avenue, Bronx NY 10470",10470,40.899295,-73.8675,
The Donald Hertz School (P.S. 83),middle,"950 Rhinelander Avenue, Bronx NY 10462",10462,40.849395,-73.859249,
P.S./M.S. 89,middle,"980 Mace Avenue, Bronx NY 10469",10469,40.863055,-73.859387,
The Castle Hill School (J.H.S. 127),middle,"1560 Purdy Street, Bronx NY 10462",10462,40.837931,-73.853524,
Michelangelo Middle School (J.H.S. 144),middle,"2545 Gunther Avenue, Bronx NY 10469",10469,40.863735,-73.83607,
City Island School (P.S. 175),middle,"200 City Island Avenue, Bronx NY 10464",10464,40.843873,-73.785219,
Dr. Daniel Hale Williams (I.S. 180),middle,"700 Baychester Avenue, Bronx NY 10475",10475,40.87302,-73.833776,
Pablo Casals (I.S. 181),middle,"800 Baychester Avenue, Bronx NY 10475",10475,40.87529,-73.833912,
P.S./I.S. 194,middle,"2365 Waterbury Avenue, Bronx NY 10462",10462,40.834782,-73.846632,
North Bronx School of Empowerment,middle,"3710 Barnes Avenue, Bronx NY 10467",10467,40.880873,-73.860904,
Bronx Green Middle School,middle,"2441 Wallace Avenue, Bronx NY 10467",10467,40.862109,-73.864577,
Pelham Gardens Middle School,middle,"2545 Gunther Avenue, Bronx NY 10469",10469,40.863735,-73.83607,
Bronx Alliance Middle School,middle,"3750 Baychester Avenue, Bronx NY 10466",10466,40.884953,-73.840524,
Leaders of Tomorrow,middle,"3710 Barnes Avenue, Bronx NY 10467",10467,40.880873,-73.860904,
Cornerstone Academy for Social Action (CASA),middle,"3441 Steenwick Avenue, Bronx NY 10475",10475,40.883025,-73.830366,
Pelham Academy of Academics and Community Engagement,middle,"2441 Wallace Avenue, Bronx NY 10467",10467,40.862109,-73.864577,
Cypress Hills Community School (P.S./I.S. 89),middle,"265 Warwick Street, Brooklyn NY 11207",11207,40.677697,-73.886936,
Van Nest Academy (P.S./M.S. 498),middle,"1640 Bronxdale Avenue, Bronx NY 10462",10462,40.84473,-73.858207,
One World Middle School At Edenwald,middle,"3750 Baychester Avenue, Bronx NY 10466",10466,40.884953,-73.840524,
Baychester Middle School,middle,"3750 Baychester Avenue, Bronx NY 10466",10466,40.884953,-73.840524,
Bronx Park Middle School,middle,"2441 Wallace Avenue, Bronx NY 10467",10467,40.862109,-73.864577,
Abraham Lincoln Intermediate School (I.S. 171),middle,"528 Ridgewood Avenue, Brooklyn NY 11208",11208,40.68618,-73.869625,
James P. Sinnott (J.H.S. 218),middle,"370 Fountain Avenue, Brooklyn NY 11208",11208,40.670724,-73.874208,
Margaret Douglas (J.H.S. 292),middle,"301 Vermont Street, Brooklyn NY 11207",11207,40.671987,-73.893896,
Gateway (I.S. 364),middle,"1426 Freeport Loop, Brooklyn NY 11239",11239,40.645806,-73.881671,
Teachers College Community School,middle,"168 Morningside Avenue, Manhattan, NY 10027",10027,40.81242,-73.953315,
Academy for Young Writers,middle,"1065 Elton Street, Brooklyn NY 11208",11208,40.657459,-73.874756,
East New York Family Academy,middle,"2057 Linden Boulevard, Brooklyn NY 11207",11207,40.661072,-73.886942,
Spring Creek Community School,middle,"1065 Elton Street, Brooklyn NY 11208",11208,40.657459,-73.874756,
Frederick Douglass Academy VIII,middle,"1400 Pennsylvania Avenue, Brooklyn NY 11239",11239,40.64726,-73.881114,
Van Siclen Community Middle School,middle,"800 Van Siclen Avenue, Brooklyn NY 11207",11207,40.66011,-73.885387,
Vista Academy,middle,"350 Linwood Street, Brooklyn NY 11208",11208,40.677104,-73.883433,
Liberty Avenue Middle School,middle,"350 Linwood Street, Brooklyn NY 11208",11208,40.677104,-73.883433,
School of the Future Brooklyn,middle,"574 Dumont Avenue, Brooklyn NY 11207",11207,40.665798,-73.897723,
The East New York Middle School of Excellence,middle,"605 Shepherd Avenue, Brooklyn NY 11208",11208,40.669387,-73.879614,
Highland Park Community School,middle,"528 Ridgewood Avenue, Brooklyn NY 11208",11208,40.68618,-73.869625,
Shell Bank (J.H.S. 14),middle,"2424 Batchelder Street, Brooklyn NY 11235",11235,40.593521,-73.937672,
Intermediate School 78: The School of Architectural Design & Innovative Technology,middle,"1420 East 68th Street, Brooklyn NY 11234",11234,40.621224,-73.91287,
M.S. 379,middle,"124-06 14th Avenue, Queens, NY 11356",11356,40.785327,-73.843749,
P.S./I.S. 109,middle,"1001 East 45th Street, Brooklyn NY 11203",11203,40.636455,-73.933582,
Joseph F. Lamb (P.S./I.S. 206),middle,"2200 Gravesend Neck Road, Brooklyn NY 11229",11229,40.597369,-73.948946,
Elizabeth G. Leary (P.S. 207),middle,"4011 Fillmore Avenue, Brooklyn NY 11234",11234,40.613353,-73.930129,
Arthur W. Cunningham School (J.H.S. 234),middle,"1875 East 17th Street, Brooklyn NY 11229",11229,40.60422,-73.955485,
Andries Hudde (I.S. 240),middle,"2500 Nostrand Avenue, Brooklyn NY 11210",11210,40.623561,-73.946279,
Marine Park (J.H.S. 278),middle,"1925 Stuart Street, Brooklyn NY 11229",11229,40.60665,-73.939176,
I.S. 381,middle,"2500 Nostrand Avenue, Brooklyn NY 11210 ",11210,40.623561,-73.946279,
M.S. 890,middle,"510 Coney Island Avenue, Brooklyn NY 11218",11218,40.645199,-73.97052,
Horace Greeley (I.S. 10),middle,"45-11 31st Avenue, Queens NY 11103",11103,40.759363,-73.912902,
The Robert F. Wagner Jr. School (P.S./I.S. 78),middle,"48-09 Center Boulevard, Queens NY 11109",11109,40.744753,-73.957971,
Jacob Blackwell (P.S. 111),middle,"37-15 13th Street, Queens NY 11101",11101,40.758831,-73.93938,
Mamie Fay (P.S. 122),middle,"21-21 Ditmars Boulevard, Queens NY 11105",11105,40.780347,-73.916655,
Albert Shanker School for Visual and Performing Arts (I.S. 126),middle,"31-51 21st Street, Queens NY 11106",11106,40.766264,-73.930709,
Aerospace and Science Academy (P.S./I.S. 127),middle,"98-01 25th Avenue, Queens NY 11369",11369,40.764646,-73.871641,
I.S. 141 - The Steinway,middle,"37-11 21st Avenue, Queens NY 11105",11105,40.775589,-73.90509,
Joseph Pulitzer (I.S. 145) Magnet School of Innovation and Applied Learning,middle,"33-34 80th Street, Queens NY 11372",11372,40.754661,-73.887112,
The Oliver Wendell Holmes School,middle,"36-41 28th Street, Queens NY 11106",11106,40.757065,-73.932664,
Louis Armstrong Middle School (I.S. 227),middle,"32-02 Junction Boulevard, Queens NY 11369",11369,40.758408,-73.874472,
I.S. 230,middle,"73-10 34th Avenue, Jackson Heights NY 11372",11372,40.752866,-73.893193,
The Young Women's Leadership School of Astoria,middle,"23-15 Newtown Avenue, Queens NY 11102",11102,40.771215,-73.924591,
Hunter's Point Community Middle School,middle,"1-50 51st Avenue, Queens NY 11101",11101,40.742956,-73.959196,
The 30th Avenue School (P.S./M.S. 300),middle,"31-51 21st Street, Queens NY 11106",11106,40.766264,-73.930709,
Booker T. Washington (J.H.S. 54),middle,"103 West 107th Street, Manhattan NY 10025",10025,40.800119,-73.962837,
A. Philip Randolph (P.S./I.S. 76),middle,"220 West 121st Street, Manhattan NY 10027",10027,40.806768,-73.951061,
Sojourner Truth School (03M149),middle,"41 West 117th Street, Manhattan NY 10026",10026,40.802136,-73.947828,
P.S./M.S. 165: The Robert E. Simon School for Leadership,middle,"234 West 109th Street, Manhattan NY 10025",10025,40.802917,-73.965613,
West Side Collaborative Middle School (M.S. 250),middle,"735 West End Avenue, Manhattan NY 10025",10025,40.795157,-73.973292,
Hugo Newman School (P.S./I.S. 180),middle,"370 West 120th Street, Manhattan NY 10027",10027,40.807843,-73.955569,
P.S./I.S. 191,middle,"210 West 61st Street, Manhattan NY 10023",10023,40.771925,-73.987328,
The Center School (M.S. 243),middle,"100 West 84th Street, Manhattan NY 10024",10024,40.785287,-73.97343,
The Computer School (M.S. 245),middle,"100 West 77th Street, Manhattan NY 10024",10024,40.780822,-73.976855,
Dual Language Middle School (M.S. 247),middle,"32 West 92nd Street, Manhattan NY 10025",10025,40.789526,-73.967574,
Lafayette Academy (M.S. 256),middle,"154 West 93rd Street, Manhattan NY 10025",10025,40.791728,-73.970845,
Community Action School (M.S. 258),middle,"154 West 93rd Street, Manhattan NY 10025",10025,40.791728,-73.970845,
West End Secondary School,middle,"227-243 West 61st Street, Manhattan NY 10023",10023,40.772007,-73.987479,
The Manhattan School for Children (P.S. 333),middle,"154 West 93rd Street, Manhattan NY 10025",10025,40.791728,-73.970845,
The Anderson School (P.S. 334),middle,"100 West 77th Street, Manhattan NY 10024",10024,40.780822,-73.976855,
Wadleigh Secondary School For the Performing & Visual Arts,middle,"215 West 114th Street, Manhattan NY 10026",10026,40.802207,-73.954142,
West Prep Academy,middle,"150 West 105th Street, Manhattan NY 10025",10025,40.799178,-73.964842,
Special Music School,middle,"129 West 67th Street, Manhattan, NY 10023",10023,40.774919,-73.982745,
Frederick Douglass Academy II Secondary School,middle,"215 West 114th Street, Manhattan NY 10026",10026,40.802207,-73.954142,
Mott Hall II,middle,"234 West 109th Street, Manhattan NY 10025",10025,40.802917,-73.965613,
Crotona Park West (P.S./M.S. 4),middle,"1701 Fulton Avenue, Bronx NY 10457",10457,40.840891,-73.898166,
Jordan L. Mott (M.S. 22),middle,"270 East 167th Street, Bronx NY 10456",10456,40.833131,-73.914027,
Joseph H. Wade Academies (M.S. 117),middle,"1865 Morris Avenue, Bronx NY 10453",10453,40.848516,-73.908427,
Mott Hall III,middle,"580 Crotona Park South, Bronx NY 10456",10456,40.835286,-73.900751,
Knowledge and Power Preparatory Academy (M.S. 215),middle,"3630 Third Avenue, Bronx NY 10456",10456,40.833511,-73.90449,
The Rafael Hernandez Dual Language Magnet School (P.S./I.S. 218),middle,"1220 Gerard Avenue, Bronx NY 10452",10452,40.835847,-73.920026,
M.S. 219,middle,"3630 Third Avenue, Bronx NY 10456",10456,40.833511,-73.90449,
Dr. Roland N. Patterson School (I.S. 229),middle,"275 Harlem River Park Bridge, Bronx NY 10453",10453,40.852536,-73.921467,
The Eagle Academy for Young Men,middle,"4143 Third Avenue, Bronx NY 10457",10457,40.844958,-73.89705,
The Academy School (M.S. 232),middle,"1700 Macombs Road, Bronx NY 10453",10453,40.849623,-73.91607,
The Urban Assembly School for Applied Math and Science,middle,"1595 Bathgate Avenue, Bronx NY 10457",10457,40.839244,-73.901316,
The Leadership & Community Service Academy (I.S. 303),middle,"1700 Macombs Road, Bronx NY 10453",10453,40.849623,-73.91607,
School of Leadership Development (I.S. 313),middle,"1600 Webster Avenue, Bronx NY 10457",10457,40.840878,-73.904754,
Bronx Writing Academy,middle,"270 East 167th Street, Bronx NY 10456",10456,40.833131,-73.914027,
Bronx Early College Academy,middle,"250 East 164th Street, Bronx NY 10456",10456,40.828696,-73.917668,
"The Captain Manuel Rivera, Jr. School (P.S. 279)",middle,"2100 Walton Avenue, Bronx NY 10453",10453,40.854432,-73.905566,
Urban Science Academy,middle,"1000 Teller Avenue, Bronx NY 10456",10456,40.827941,-73.914374,
Comprehensive Model School Project (M.S. 327),middle,"1501 Jerome Avenue, Bronx NY 10452",10452,40.842495,-73.916082,
New Millennium Business Academy Middle School,middle,"1000 Teller Avenue, Bronx NY 10456",10456,40.827941,-73.914374,
School of Communication Technology (M.S. 339),middle,"1600 Webster Avenue, Bronx NY 10457",10457,40.840878,-73.904754,
The Rachel Jean Mitchell School (P.S./I.S. 137),middle,"121 Saratoga Avenue, Brooklyn NY 11233",11233,40.682458,-73.917088,
New Directions Secondary School,middle,"240 East 172nd Street, Bronx NY 10457",10457,40.840422,-73.91091,
The Highbridge Green School,middle,"200 West 167th Street, Bronx NY 10452",10452,40.838224,-73.927891,
Bronx School for Medical Science,middle,"240 East 172nd Street, Bronx NY 10457",10457,40.840422,-73.91091,
Science and Technology Academy: A Mott Hall School,middle,"250 East 164th Street, Bronx NY 10456",10456,40.828696,-73.917668,
"Bronx School for Law, Government and Justice",middle,"244 East 163rd Street, Bronx NY 10451",10451,40.827607,-73.918681,
Young Women's Leadership School of the Bronx,middle,"1865 Morris Avenue, Bronx NY 10453",10453,40.848516,-73.908427,
Raul Julia (P.S./M.S. 3),middle,"2100 Lafontaine Avenue, Bronx NY 10457",10457,40.849897,-73.892289,
The Institute for Environmental Learning (P.S. 15),middle,"2195 Andrews Avenue, Bronx NY 10453",10453,40.85881,-73.909746,
"Police Officer George J. Werdann, III (P.S./M.S. 20)",middle,"3050 Webster Avenue, Bronx NY 10467",10467,40.870002,-73.878875,
The Multiple Intelligences School (P.S. 37),middle,"360 West 230th Street, Bronx NY 10463",10463,40.880263,-73.910466,
Thomas C. Giordano Middle School (M.S. 45),middle,"2502 Lorillard Place, Bronx NY 10458",10458,40.859034,-73.886913,
JHS 080 The Mosholu Parkway (M.S. 80),middle,"149 East Mosholu Parkway North, Bronx NY 10467",10467,40.876299,-73.881532,
The Sheila Mencher Van Cortlandt School (P.S/M.S 95),middle,"3961 Hillman Avenue, Bronx NY 10463",10463,40.882898,-73.891256,
"William W. Niles (M.S. 118) Pace, Spectrum & Excellence",middle,"577 East 179th Street, Bronx NY 10457",10457,40.848339,-73.89308,
Riverdale/Kingsbridge Academy (M.S./H.S. 141),middle,"660 West 237th Street, Bronx NY 10463",10463,40.888338,-73.913486,
Ann Mersereau (M.S. 206),middle,"2280 Aqueduct Avenue, Bronx NY 10468",10468,40.859686,-73.906495,
Theatre Arts Production Company School (TAPCo),middle,"2225 Webster Avenue, Bronx NY 10457",10457,40.854493,-73.896717,
Jonas Bronck Academy,middle,"400 East Fordham Road, Bronx NY 10458",10458,40.861668,-73.891337,
West Bronx Academy for the Future,middle,"500 East Fordham Road, Bronx NY 10458",10458,40.860043,-73.888267,
The New School for Leadership and the Arts,middle,"120 West 231st Street, Bronx NY 10463",10463,40.875911,-73.901099,
TEAM 254,middle,"2452 Washington Avenue, Bronx NY 10458",10458,40.858815,-73.890232,
P.S./M.S. 280,middle,"3202 Steuben Avenue, Bronx NY 10467",10467,40.877202,-73.881773,
Bronx Dance Academy,middle,"3617 Bainridge Avenue, Bronx NY 10467",,,,
The Lab School (P.S. 315),middle,"2246 Jerome Avenue, Bronx NY 10453",10453,40.857842,-73.904202,
The Bronx School of Young Leaders,middle,"40 West Tremont Avenue, Bronx NY 10453",10453,40.851823,-73.91118,
P.S./I.S. 323,middle,"210 Chester Street, Brooklyn NY 11212",11212,40.666545,-73.910904,
International School for Liberal Arts,middle,"2780 Reservoir Avenue, Bronx NY 10468",10468,40.870293,-73.898309,
Academy for Personal Leadership and Excellence,middle,"120 East 184th Street, Bronx NY 10468",10468,40.859752,-73.900161,
IN-Tech Academy (M.S./H.S. 368),middle,"2975 Tibbett Avenue, Bronx NY 10463",10463,40.879368,-73.909896,
M.S. 390,middle,"1930 Andrews Avenue, Bronx NY 10453",10453,40.854701,-73.913197,
The Angelo Patri Middle School,middle,"2225 Webster Avenue, Bronx NY 10457",10457,40.854493,-73.896717,
The Creston Academy for Responsibility and Excellence (C.A.R.E.),middle,"125 East 181st Street, Bronx NY 10453",10453,40.854872,-73.903458,
East Fordham Academy for the Arts,middle,"120 East 184th Street, Bronx NY 10468",10468,40.859752,-73.900161,
Walter Francis White (P.S. 41),middle,"411 Thatford Avenue, Brooklyn NY 11212",11212,40.660306,-73.907355,
The Nicholas Herkimer School (P.S./I.S. 155),middle,"1355 Herkimer Street, Brooklyn NY 11233",11233,40.677415,-73.908734,
St. Clair McKelway School (P.S. 178),middle,"2163 Dean Street, Brooklyn NY 11233",11233,40.675024,-73.915778,
The Newport School (P.S./I.S. 184),middle,"273 Newport Street, Brooklyn NY 11212",11212,40.659966,-73.904901,
"The Gregory Jocko Jackson School of Sports, Art, and Technology (P.S./I.S. 284)",middle,"213 Osborn Street, Brooklyn NY 11212",11212,40.667377,-73.908214,
Brownsville Collaborative Middle School,middle,"85 Watkins Street, Brooklyn NY 11212",11212,40.670986,-73.908194,
I.S. 392,middle,"104 Sutter Avenue, Brooklyn NY 11212",11212,40.665965,-73.918107,
KAPPA V (Knowledge and Power Preparatory Academy V),middle,"985 Rockaway Avenue, Brooklyn NY 11212",11212,40.656068,-73.907245,
Mott Hall IV,middle,"1137 Herkimer Street, Brooklyn NY 11233",11233,40.677805,-73.915843,
Eagle Academy for Young Men II,middle,"1137 Herkimer Street, Brooklyn NY 11233",11233,40.677805,-73.915843,
Brooklyn Environmental Exploration Schools (BEES),middle,"251 McDougal Street, Brooklyn NY 11233",11233,40.680318,-73.910644,
Riverdale Avenue Middle School,middle,"76 Riverdale Avenue, Brooklyn NY 11212",11212,40.660204,-73.913933,
Mott Hall Bridges Academy,middle,"210 Chester Street, Brooklyn NY 11212",11212,40.666545,-73.910904,
Springfield Gardens (I.S. 59),middle,"132-55 Ridgedale Street, Queens NY 11413",11413,40.68173,-73.753429,
Jean Nuzzi Intermediate School (I.S. 109),middle,"213-10 92nd Avenue, Queens NY 11428",11428,40.720713,-73.747001,
William C. Hughley (P.S./I.S. 116),middle,"107-25 Wren Place, Queens NY 11433",11433,40.700606,-73.782302,
The Sunrise School (P.S./M.S. 138),middle,"251-11 Weller Avenue, Queens NY 11422",11422,40.659728,-73.735176,
Ronald McNair (P.S./M.S. 147),middle,"218-01 116th Avenue, Queens NY 11411",11411,40.697309,-73.740948,
I.S. 192,middle,"109-89 204th Street, Queens NY 11412",11412,40.70646,-73.753579,
P.S./I.S. 208,middle,"74-30 Commonwealth Boulevard, Queens NY 11426",11426,40.745948,-73.727456,
Susan B. Anthony (I.S. 238),middle,"88-15 182nd Street, Queens NY 11423",11423,40.713094,-73.780468,
Pathways College Preparatory School: An Early College School,middle,"109-89 204th Street, Queens NY 11412",11412,40.70646,-73.753579,
P.S./I.S. 268,middle,"92-07 175th Street, Queens NY 11433",11433,40.707537,-73.785626,
The Gordon Parks School for Inquisitive Minds (P.S./I.S 270),middle,"233-15 Merrick Boulevard, Queens NY 11422",11422,40.674831,-73.736713,
Preparatory Academy for Writers: A College Board School,middle,"143-10 Springfield Boulevard, Queens NY 11413",11413,40.668235,-73.756839,
Queens United Middle School,middle,"229-02 137th Avenue, Queens NY 11413",11413,40.673069,-73.743173,
P.S./I.S. 295,middle,"222-14 Jamaica Avenue, Queens NY 11428",11428,40.720619,-73.731997,
Eagle Academy for Young Men III,middle,"171-10 Linden Boulevard, Queens NY 11434",11434,40.691712,-73.778923,
Collaborative Arts Middle School,middle,"145-00 Springfield Boulevard, Queens NY 11413",11413,40.664597,-73.758748,
Community Voices Middle School,middle,"145-00 Springfield Boulevard, Queens NY 11413",11413,40.664597,-73.758748,
Horace E. Greene (P.S./I.S. 45K),middle,"84 Schaefer Street, Brooklyn NY 11207",11207,40.686746,-73.910693,
Willoughby School (J.H.S. 162),middle,"1390 Willoughby Avenue, Brooklyn NY 11237",11237,40.707229,-73.919805,
Roland Hayes (J.H.S. 291),middle,"231 Palmetto Street, Brooklyn NY 11221",11221,40.695362,-73.915142,
School of Humanities (I.S. 347),middle,"35 Starr Street, Brooklyn NY 11221",11221,40.70069,-73.927481,
"Math, Science & Technology (I.S. 349)",middle,"35 Starr Street, Brooklyn NY 11221",11221,40.70069,-73.927481,
Alejandrina Benitez de Gautier School (P.S. 377),middle,"200 Woodbine Street, Brooklyn NY 11221",11221,40.694018,-73.915263,
Philippa Schuyler (J.H.S. 383),middle,"1300 Greene Avenue, Brooklyn NY 11237",11237,40.697781,-73.919777,
Frances E. Carter School (P.S./I.S. 384),middle,"242 Cooper Street, Brooklyn NY 11207",11207,40.690353,-73.904803,
All City Leadership Secondary School,middle,"321 Palmetto Street, Brooklyn NY 11237",11237,40.69737,-73.913171,
Boerum Hill School for International Studies,middle,"284 Baltic Street, Brooklyn NY 11201",11201,40.685419,-73.993351,
The Evergreen Middle School for Urban Exploration,middle,"125 Covert Street, Brooklyn NY 11207",11207,40.688387,-73.910276,
Samuel Stern (P.S./M.S. 7),middle,"160 East 120th Street, Manhattan NY 10035",10035,40.801007,-73.939349,
Talented and Gifted School for Young Scholars,middle,"240 East 109th Street, Manhattan NY 10029",10029,40.79307,-73.942303,
Vito Marcantonio (P.S./I.S. 50),middle,"433 East 100th Street, Manhattan NY 10029",10029,40.785258,-73.941526,
James Weldon Johnson Leadership Academy,middle,"176 East 115th Street, Manhattan NY 10029",10029,40.797577,-73.94128,
The Lexington Academy,middle,"131 East 104th Street, Manhattan NY 10029",10029,40.791179,-73.947776,
Joseph Lanzetta School (P.S./M.S. 96),middle,"216 East 120th Street, Manhattan NY 10035",10035,40.800256,-73.937558,
School of Authors (P.S./M.S. 108 ),middle,"1615 Madison Avenue, Manhattan NY 10029",10029,40.795146,-73.948368,
Patrick Henry Preparatory School (PS/IS 171),middle,"19 East 103rd Street, Manhattan NY 10029",10029,40.792122,-73.951961,
Jose Celso Barbosa (P.S./M.S. 206),middle,"508 East 120th Street, Manhattan NY 10035",10035,40.797467,-73.930868,
Manhattan East School for Arts & Academics (M.S. 224),middle,"410 East 100th Street, Manhattan NY 10029",10029,40.785671,-73.942548,
Esperanza Preparatory Academy,middle,"240 East 109th Street, Manhattan NY 10029",10029,40.79307,-73.942303,
Renaissance School of The Arts,middle,"319 East 117th Street, Manhattan NY 10035",10035,40.797302,-73.936365,
Global Technology Preparatory,middle,"160 East 120th Street, Manhattan NY 10035",10035,40.801007,-73.939349,
The Young Women's Leadership School,middle,"105 East 106th Street, New York NY 10029",10029,40.792741,-73.947428,
Isaac Newton Middle School for Math and Science,middle,"260 Pleasant Avenue, Manhattan NY 10029",10029,40.793856,-73.934028,
Central Park East II,middle,"1615 Madison Avenue, Manhattan, NY 10029",10029,40.795146,-73.948368,
The Albert Einstein School (J.H.S. 131),middle,"885 Bolton Avenue, Bronx NY 10473",10473,40.823526,-73.859662,
Rose E. Scala (P.S. 71),middle,"3040 Roberts Avenue, Bronx NY 10461",10461,40.845787,-73.829829,
The Edward R. Byrne School (M.S. 101),middle,"2750 Lafayette Avenue, Bronx NY 10465",10465,40.827471,-73.829753,
The James M. Kieran School (J.H.S. 123),middle,"1025 Morrison Avenue, Bronx NY 10472",10472,40.825403,-73.873666,
Henry Hudson School (J.H.S. 125),middle,"1111 Pugsley Avenue, Bronx NY 10472",10472,40.829232,-73.856734,
The Paul L. Dunbar Middle School (M.S. 301),middle,"890 Cauldwell Avenue, Bronx NY 10456",10456,40.822474,-73.907194,
Luisa Dessus Cruz Middle School (M.S. 302),middle,"681 Kelly Street, Bronx NY 10455",10455,40.815429,-73.902139,
The School for Inquiry and Social Justice,middle,"1025 Morrison Avenue, Bronx NY 10472",10472,40.825403,-73.873666,
"Archimedes Academy for Math, Science and Technology Applications",middle,"456 White Plains Road, Bronx NY 10473",10473,40.814833,-73.85658,
The Urban Institute of Mathematics,middle,"650 Hollywood Avenue, Bronx NY 10465",10465,40.826526,-73.818417,
The Bronx Mathematics Preparatory School,middle,"456 White Plains Road, Bronx NY 10473",10473,40.814833,-73.85658,
The Antonia Pantoja Preparatory Academy: A College Board School,middle,"1980 Lafayette Avenue, Bronx NY 10473",10473,40.82229,-73.856167,
The Hunts Point School,middle,"730 Bryant Avenue, Bronx NY 10474",10474,40.815477,-73.88577,
Soundview Academy for Culture and Scholarship,middle,"885 Bolton Avenue, Bronx NY 10473",10473,40.823526,-73.859662,
Blueprint Middle School,middle,"1111 Pugsley Avenue, Bronx NY 10472",10472,40.829232,-73.856734,
William Alexander Middle School (M.S. 51),middle,"350 5th Avenue, Brooklyn NY 11215",11215,40.672015,-73.983947,
The Park Slope Educational Complex at (M.S. 88),middle,"544 7th Avenue, Brooklyn NY 11215",11215,40.660024,-73.987637,
Charles O. Dewey Middle School (I.S. 136),middle,"4004 4th Avenue, Brooklyn NY 11232",11232,40.651977,-74.006862,
Carroll Gardens School for Innovation (M.S. 442),middle,"317 Hoyt Street, Brooklyn NY 11231",11231,40.680445,-73.991949,
New Voices School of Academic & Creative Arts,middle,"330 18th Street, Brooklyn NY 11215",11215,40.660976,-73.988297,
The Math & Science Exploratory School,middle,"345 Dean Street, Brooklyn NY 11217",11217,40.683559,-73.98027,
Brooklyn Collaborative,middle,"610 Henry Street, Brooklyn NY 11231",11231,40.68007,-74.001377,
Park Slope Collegiate,middle,"237 7th Avenue, Brooklyn NY 11215",11215,40.669629,-73.979287,
Sunset Park Preparatory,middle,"4004 4th Avenue, Brooklyn NY 11232",11232,40.651977,-74.006862,
M.S. 839,middle,"713 Caton Avenue, Brooklyn NY 11218",11218,40.64759,-73.973362,
P.S. 66,middle,"845 East 96th Street, Brooklyn NY 11236",11236,40.64883,-73.907774,
I.S. 68,middle,"956 East 82nd Street, Brooklyn NY 11236",11236,40.635553,-73.91079,
The East Flatbush Community Research School,middle,"905 Winthrop Street, Brooklyn NY 11203",11203,40.65843,-73.929076,
John Wilson (I.S. 211),middle,"1001 East 100th Street, Brooklyn NY 11236",11236,40.643278,-73.896212,
The Lenox Academy (P.S. 235),middle,"755 East 100th Street, Brooklyn, NY 11236",11236,40.645685,-73.8989,
Meyer Levin (I.S. 285),middle,"5909 Beverly Road, Brooklyn NY 11203",11203,40.646877,-73.920977,
The Science And Medicine Middle School 366,middle,"965 East 107th Street, Brooklyn NY 11236",11236,40.647323,-73.892022,
Middle School for Art and Philosophy,middle,"1084 Lenox Road, Brooklyn NY 11212",11212,40.658295,-73.920109,
Middle School of Marketing and Legal Studies,middle,"905 Winthrop Street, Brooklyn NY 11203",11203,40.65843,-73.929076,
Brooklyn Science and Engineering Academy,middle,"5404 Tilden Avenue, Brooklyn NY 11203",11203,40.648423,-73.925948,
Richard S. Grossley (J.H.S. 8),middle,"108-35 167th Street, Queens NY 11433",11433,40.69719,-73.787192,
Catherine & Count Basie Middle School (M.S. 72),middle,"133-25 Guy R Brewer Boulevard, Queens NY 11434",11434,40.673769,-73.775951,
Stephen A. Halsey (J.H.S. 157),middle,"63-55 102nd Street, Queens NY 11374",11374,40.732289,-73.853825,
MELS - Metropolitan Expeditionary Learning School,middle,"91-30 Metropolitan Avenue, Queens NY 11375",11375,40.711367,-73.856698,
Russell Sage Junior High School (J.H.S. 190),middle,"68-17 Austin Street, Queens NY 11375",11375,40.722707,-73.851699,
Robert A. Van Wyck (J.H.S. 217),middle,"85-05 144th Street, Queens NY 11435",11435,40.710024,-73.812508,
York Early College Academy,middle,"108-35 167th Street, Queens NY 11433",11433,40.69719,-73.787192,
The Emerson School,middle,"108-35 167th Street, Queens NY 11433",11433,40.69719,-73.787192,
Queens Collegiate: A College Board School,middle,"167-01 Gothic Drive, Jamaica NY 11432",11432,40.713218,-73.797237,
