id,latitude,longitude,stop_weight
1734,40.84916900104506,-73.86835600032798,2
1735,40.84912800131844,-73.86821300022677,2
1736,40.84122300105249,-73.87349900050798,2
1737,40.84145300067447,-73.8728919997833,2
1738,40.84081500075867,-73.87962300013866,2
1739,40.840434000875874,-73.88000500027815,2
1740,40.84035400111976,-73.87983300021861,2
1741,40.84063900116436,-73.8795549998336,2
1742,40.84107800066419,-73.87939700013239,2
1743,40.83732500129732,-73.88804799985908,2
1744,40.83759900080287,-73.88775499967073,2
1745,40.82990300129103,-73.8920200000541,2
1746,40.83036900118696,-73.89201499957316,2
1747,40.824356000986995,-73.8928969996593,2
1748,40.82417700086825,-73.89311400018327,2
1749,40.82435800046701,-73.89272399968436,2
1750,40.82240000099551,-73.89650800005289,2
1751,40.822447000685614,-73.89671899954544,2
1752,40.82209500126821,-73.89668100059053,2
1753,40.81958300055107,-73.90195799960925,2
1754,40.81988700097359,-73.90166599969895,2
1755,40.816201000889976,-73.90794199971145,2
1756,40.81634900118909,-73.90783599990867,2
1757,40.816589001345,-73.90789300002874,2
1758,40.81687300084191,-73.90737899951296,2
1759,40.816247000954746,-73.91779800052478,2
1760,40.816315000918856,-73.91754299959281,2
1761,40.81624200101981,-73.91793400026026,2
1762,40.816265000695616,-73.91745600003321,2
1763,40.82406900082459,-73.93698100017718,1
1764,40.820343000629556,-73.9365079998309,1
1765,40.82066200082306,-73.93627500051028,1
1766,40.81402400066214,-73.94111700020044,2
1767,40.81431600078061,-73.94090999997408,2
1768,40.80768100084603,-73.94575199990311,2
1769,40.807995000617474,-73.94552399978897,2
1770,40.80194500059596,-73.94994299962482,2
1771,40.802229000880594,-73.9497339996279,2
1772,40.79849700071488,-73.95267200045232,2
1773,40.75954200052247,-73.82988499974958,1
1774,40.75970600083494,-73.82994300022399,1
1775,40.75945100062502,-73.82992700036094,1
1776,40.75958700091248,-73.83040800033365,1
1777,40.75940400122518,-73.83033299958196,1
1778,40.754777000898834,-73.84573700003628,1
1779,40.754394001173765,-73.84583200008146,1
1780,40.75465700078071,-73.846014000518,1
1781,40.75476800051026,-73.84559800035487,1
1782,40.75161000050445,-73.85606500055066,1
1783,40.7514230005298,-73.85599600026607,1
1784,40.751551000801946,-73.85562800021326,1
1785,40.74978700120902,-73.8623889994136,1
1786,40.74997300072977,-73.86242500039948,1
1787,40.749775001274365,-73.86253700028536,1
1788,40.74996400053782,-73.86254600024824,1
1789,40.749263000986595,-73.86937600053827,1
1790,40.74909500084612,-73.8691200004944,1
1791,40.74926600095647,-73.86921999985785,1
