school_name,type,location,Postcode,Latitude,Longitude,score
William E. Grady Career and Technical Education High School,high,"25 Brighton 4th Road, Brooklyn NY 11235 (40.583263, -73.963764)",11235,40.58326,-73.9638,0.62 
Pelham Preparatory Academy,high,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",10469,40.86044,-73.8607,0.86 
Collegiate Institute for Math and Science (CIMS),high,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",10469,40.86044,-73.8607,0.82 
High School of Language and Innovation,high,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",10469,40.86044,-73.8607,0.73 
Astor Collegiate Academy,high,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",10469,40.86044,-73.8607,0.71 
Bronxdale High School,high,"925 Astor Avenue, Bronx NY 10469 (40.860443, -73.860729)",10469,40.86044,-73.8607,0.78 
Metropolitan Diploma Plus High School,high,"985 Rockaway Avenue, Brooklyn NY 11212 (40.655644, -73.906662)",11212,40.65564,-73.9067,
Frederick Douglass Academy VII High School,high,"226 Bristol Street, Brooklyn NY 11212 (40.665568, -73.912102)",11212,40.66557,-73.9121,0.57 
Teachers Preparatory High School,high,"226 Bristol Street, Brooklyn NY 11212 (40.665568, -73.912102)",11212,40.66557,-73.9121,0.68 
All City Leadership Secondary School,high,"321 Palmetto Street, Brooklyn NY 11237 (40.697378, -73.913172)",11237,40.69738,-73.9132,0.90 
Academy for Environmental Leadership,high,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",11237,40.69646,-73.9118,0.70 
EBC High School for Public Service - Bushwick,high,"1155 Dekalb Avenue, Brooklyn NY 11221 (40.694723, -73.929315)",11221,40.69472,-73.9293,0.63 
PROGRESS High School for Professional Careers,high,"850 Grand Street, Brooklyn NY 11211 (40.711134, -73.938921)",11211,40.71113,-73.9389,0.68 
Young Women's Leadership School of Brooklyn (TYWLS),high,"325 Bushwick Avenue, Brooklyn NY 11206 (40.705005, -73.93879)",11206,40.70501,-73.9388,1.00 
"The High School for Enterprise, Business and Technology",high,"850 Grand Street, Brooklyn NY 11211 (40.711134, -73.938921)",11211,40.71113,-73.9389,0.76 
Bushwick Leaders High School for Academic Excellence,high,"797 Bushwick Avenue, Brooklyn NY 11221 (40.695436, -73.927349)",11221,40.69544,-73.9273,0.65 
Bushwick School for Social Justice,high,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",11237,40.69646,-73.9118,0.69 
School for Legal Studies,high,"850 Grand Street, Brooklyn NY 11211 (40.711134, -73.938921)",11211,40.71113,-73.9389,0.40 
The Brooklyn School for Math and Research (BSMARt),high,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",11237,40.69646,-73.9118,0.76 
Academy of Urban Planning,high,"400 Irving Avenue, Brooklyn NY 11237 (40.696457, -73.911751)",11237,40.69646,-73.9118,0.55 
Benjamin Franklin High School for Finance & Information Technology,high,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",11411,40.69879,-73.7463,
"Mathematics, Science Research and Technology Magnet High School",high,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",11411,40.69879,-73.7463,0.65 
Humanities & Arts Magnet High School,high,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",11411,40.69879,-73.7463,0.76 
Institute for Health Professions at Cambria Heights,high,"207- 01 116th Avenue, Cambria Heights NY 11411 (40.698786, -73.74633)",11411,40.69879,-73.7463,
Brooklyn Generation School,high,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",11236,40.63445,-73.9169,0.68 
High School for Innovation in Advertising and Media,high,"1600 Rockaway Parkway, Brooklyn NY 11236 (40.640543, -73.898601)",11236,40.64054,-73.8986,0.80 
High School for Medical Professions,high,"1600 Rockaway Parkway, Brooklyn NY 11236 (40.640543, -73.898601)",11236,40.64054,-73.8986,0.95 
Urban Action Academy,high,"1600 Rockaway Parkway, Brooklyn NY 11236 (40.640543, -73.898601)",11236,40.64054,-73.8986,0.60 
Victory Collegiate High School,high,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",11236,40.63445,-73.9169,0.73 
Academy for Conservation and the Environment,high,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",11236,40.63445,-73.9169,0.82 
Brooklyn Theatre Arts High School,high,"6565 Flatlands Avenue, Brooklyn NY 11236 (40.634451, -73.916927)",11236,40.63445,-73.9169,0.70 
Brooklyn Secondary School for Collaborative Studies,high,"610 Henry Street, Brooklyn NY 11231 (40.679462, -74.002022)",11231,40.67946,-74.002,0.89 
