school_name,type,location,Postcode,Latitude,Longitude,score
Transit Tech Career and Technical Education High School,high,"1 Wells Street, Brooklyn NY 11208 (40.67878, -73.875328)",11208,40.67878,-73.8753,0.58 
W. H. Maxwell Career and Technical Education High School,high,"145 Pennsylvania Avenue, Brooklyn NY 11207 (40.673766, -73.895976)",11207,40.67377,-73.896,0.58 
Academy for Young Writers,high,"1065 Elton Street, Brooklyn NY 11208 (0, 0)",11208,,,0.75 
High School for Civil Rights,high,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",11207,40.66687,-73.8951,0.68 
FDNY __ì Captain Vernon A. Richards High School for Fire and Life Safety,high,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",11207,40.66687,-73.8951,0.74 
Performing Arts and Technology High School,high,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",11207,40.66687,-73.8951,0.69 
World Academy for Total Community Health High School (WATCH),high,"400 Pennsylvania Avenue, Brooklyn NY 11207 (40.666868, -73.895122)",11207,40.66687,-73.8951,0.68 
Urban Assembly School for Wildlife Conservation,high,"2024 Mohegan Avenue, Bronx NY 10460 (40.843781, -73.884192)",10460,40.84378,-73.8842,0.77 
Wings Academy,high,"1122 East 180th Street, Bronx NY 10460 (40.841376, -73.875262)",10460,40.84138,-73.8753,0.62 
East Side Community School,high,"420 East 12th Street, Manhattan NY 10009 (40.729152, -73.982472)",10009,40.72915,-73.9825,0.86 
Green School: An Academy for Environmental Careers,high,"223 Graham Avenue, Brooklyn NY 11206 (40.709765, -73.944463)",11206,40.70977,-73.9445,0.65 
Lyons Community School,high,"223 Graham Avenue, Brooklyn NY 11206 (40.709765, -73.944463)",11206,40.70977,-73.9445,0.65 
"Brooklyn Latin School, The",high,"223 Graham Avenue, Brooklyn NY 11206 (40.709765, -73.944463)",11206,40.70977,-73.9445,0.98 
Newtown High School,high,"48-01 90th Street, Elmhurst NY 11373 (40.740824, -73.874129)",11373,40.74082,-73.8741,0.59 
International High School for Health Sciences,high,"48-01 90th Street, Elmhurst NY 11373 (40.740824, -73.874129)",11373,40.74082,-73.8741,
Pan American International High School,high,"45-10 94th Street, Elmhurst NY 11373 (40.743228, -73.871505)",11373,40.74323,-73.8715,0.76 
Civic Leadership Academy,high,"45-10 94th Street, Elmhurst NY 11373 (40.743228, -73.871505)",11373,40.74323,-73.8715,0.87 
Frederick Douglass Academy VI High School,high,"8-21 Bay 25th Street, Far Rockaway NY 11691 (40.601537, -73.763995)",11691,40.60154,-73.764,0.45 
Academy of Medical Technology: A College Board School,high,"8-21 Bay 25th Street, Far Rockaway NY 11691 (40.601537, -73.763995)",11691,40.60154,-73.764,0.64 
"Queens High School for Information, Research, and Technology",high,"8-21 Bay 25th Street, Far Rockaway NY 11691 (40.601537, -73.763995)",11691,40.60154,-73.764,0.55 
Riverdale / Kingsbridge Academy (Middle School / High School 141) (RKA),high,"660 West 237th Street, Bronx NY 10463 (40.887407, -73.914141)",10463,40.88741,-73.9141,0.79 
Midwood High School,high,"2839 Bedford Avenue, Brooklyn NY 11210 (40.632829, -73.952356)",11210,40.63283,-73.9524,0.91 
Academy for College Preparation and Career Exploration: A College Board School,high,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",11226,40.6496,-73.9572,0.59 
High School for Service & Learning at Erasmus,high,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",11226,40.6496,-73.9572,0.69 
High School for Youth and Community Development at Erasmus,high,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",11226,40.6496,-73.9572,0.80 
Academy of Hospitality and Tourism,high,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",11226,40.6496,-73.9572,0.63 
"Science, Technology and Research Early College High School at Erasmus (STAR)",high,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602, -73.957173)",11226,40.6496,-73.9572,0.97 
East-West School of International Studies,high,"46-21 Colden Street, Flushing NY 11355 (40.74943, -73.821402)",11355,40.74943,-73.8214,0.88 
Flushing High School,high,"35-01 Union Street, Flushing NY 11354 (40.764892, -73.826811)",11354,40.76489,-73.8268,0.58 
Veritas Academy,high,"35-01 Union Street, Flushing NY 11354 (40.764892, -73.826811)",11354,40.76489,-73.8268,
Queens High School for Language Studies,high,"35-01 Union Street, Flushing NY 11354 (40.764892, -73.826811)",11354,40.76489,-73.8268,
Queens Gateway to Health Sciences Secondary School,high,"160-20 Goethals Avenue, Jamaica NY 11432 (40.718027, -73.805923)",11432,40.71803,-73.8059,0.98 
Forest Hills High School,high,"67-01 110th Street, Forest Hills NY 11375 (40.730017, -73.843972)",11375,40.73002,-73.844,0.88 
Queens Metropolitan High School,high,"91-30 Metropolitan Avenue, Forest Hills NY 11375 (40.708431, -73.855543)",11375,40.70843,-73.8555,0.92 
Metropolitan Expeditionary Learning School,high,"91-30 Metropolitan Avenue, Forest Hills NY 11375 (40.708431, -73.855543)",11375,40.70843,-73.8555,
Brooklyn Technical High School,high,"29 Ft Greene Place, Brooklyn NY 11217 (40.688896, -73.976435)",11217,40.6889,-73.9764,0.97 
Dr. Susan S. McKinney Secondary School of the Arts,high,"101 Park Avenue, Brooklyn NY 11205 (40.697177, -73.976104)",11205,40.69718,-73.9761,0.51 
Urban Assembly New York Harbor School,high,"10 South Street, Slip 7, Manhattan NY 10004 (40.689493, -74.018941)",10004,40.68949,-74.0189,0.78 
School of the Future High School,high,"127 East 22nd Street, Manhattan NY 10010 (40.739121, -73.985323)",10010,40.73912,-73.9853,0.97 
The High School For Language And Diplomacy,high,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",10003,40.73536,-73.9871,0.71 
Union Square Academy for Health Sciences,high,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",10003,40.73536,-73.9871,
High School for Health Professions and Human Services,high,"345 East 15th Street, Manhattan NY 10003 (40.732665, -73.98259)",10003,40.73267,-73.9826,0.90 
__ú47__ù The American Sign Language and English Secondary School,high,"223 East 23rd Street, Manhattan NY 10010 (40.738374, -73.981329)",10010,40.73837,-73.9813,0.55 
Academy for Software Engineering (AFSE),high,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",10003,40.73536,-73.9871,
Institute for Collaborative Education (ICE),high,"345 East 15th Street, Manhattan NY 10003 (40.732665, -73.98259)",10003,40.73267,-73.9826,0.93 
International High School at Union Square,high,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",10003,40.73536,-73.9871,0.54 
Gramercy Arts High School,high,"40 Irving Place, Manhattan NY 10003 (40.735361, -73.987064)",10003,40.73536,-73.9871,0.88 
John Dewey High School,high,"50 Avenue X, Brooklyn NY 11223 (40.58807, -73.981925)",11223,40.58807,-73.9819,0.70 
Kingsborough Early College School,high,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",11214,40.59303,-73.9863,0.94 
Expeditionary Learning School for Community Leaders,high,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",11214,40.59303,-73.9863,0.82 
International High School at Lafayette,high,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",11214,40.59303,-73.9863,0.77 
High School of Sports Management,high,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",11214,40.59303,-73.9863,0.71 
Life Academy High School for Film and Music,high,"2630 Benson Avenue, Brooklyn NY 11214 (40.593028, -73.986313)",11214,40.59303,-73.9863,0.95 
Pathways College Preparatory School: A College Board School,high,"109-89 204th Street, Saint Albans NY 11412 (40.705989, -73.752885)",11412,40.70599,-73.7529,0.70 
Information Technology High School,high,"21-16 44th Road, Long Island City NY 11101 (40.748502, -73.946488)",11101,40.7485,-73.9465,0.78 
Aviation Career & Technical Education High School,high,"45-30 36th Street, Long Island City NY 11101 (40.743309, -73.929577)",11101,40.74331,-73.9296,0.91 
Academy for Careers in Television and Film (ACTV),high,"1-50 51St Avenue, Long Island City NY 11101  (40.742964, -73.959183)",11101,40.74296,-73.9592,0.98 
High School of Applied Communication,high,"30-20 Thomson Avenue, Long Island City NY 11101 (40.744175, -73.937004)",11101,40.74418,-73.937,0.82 
Bard High School Early College Queens,high,"30-20 Thomson Avenue, Long Island City NY 11101 (40.744175, -73.937004)",11101,40.74418,-73.937,0.98 
Middle College High School at LaGuardia Community College,high,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",11101,40.74325,-73.9333,0.66 
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",high,"47-07 30th Place, Long Island City NY 11101 (40.742217, -73.936442)",11101,40.74222,-73.9364,0.83 
Academy of Finance and Enterprise,high,"30-20 Thomson Avenue, Long Island City NY 11101 (40.744175, -73.937004)",11101,40.74418,-73.937,0.94 
International High School at LaGuardia Community College,high,"45-35 Van Dam Street, Long Island City NY 11101 (40.743253, -73.933316)",11101,40.74325,-73.9333,0.85 
Queens Vocational and Technical High School,high,"37-02 47th Avenue, Long Island City NY 11101 (40.741658, -73.927995)",11101,40.74166,-73.928,0.80 
Bronx Studio School for Writers and Artists,high,"928 Simpson Street, Bronx NY 10459 (40.820388, -73.892961)",10459,40.82039,-73.893,0.70 
Inwood Early College for Health and Information Technologies,high,"650 Academy Street, Manhattan NY 10034 (40.865556, -73.925464)",10034,40.86556,-73.9255,
High School for Excellence and Innovation,high,"650 Academy Street, Manhattan NY 10034 (40.865556, -73.925464)",10034,40.86556,-73.9255,
Cambria Heights Academy,high,"188-04 91St Avenue, Hollis NY 11423 (40.711857, -73.771196)",11423,40.71186,-73.7712,0.73 
Queens High School for the Sciences at York College,high,"94-50 159th Street, Jamaica NY 11433 (40.700884, -73.798364)",11433,40.70088,-73.7984,0.98 
"Queens School of Inquiry, The",high,"158-40 76 Road, Fresh Meadows NY 11366 (40.724195, -73.80938)",11366,40.7242,-73.8094,0.93 
Robert F. Kennedy Community High School,high,"75-40 Parsons Boulevard, Fresh Meadows NY 11366 (40.72528, -73.811408)",11366,40.72528,-73.8114,0.84 
Townsend Harris High School,high,"149-11 Melbourne Avenue, Flushing NY 11367 (40.737038, -73.821532)",11367,40.73704,-73.8215,1.00 
John Bowne High School,high,"63-25 Main Street, Flushing NY 11367 (40.737448, -73.823841)",11367,40.73745,-73.8238,0.70 
Manhattan International High School,high,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",10065,40.76564,-73.9598,0.73 
Vanguard High School,high,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",10065,40.76564,-73.9598,0.73 
Eleanor Roosevelt High School,high,"411 East 76th Street, Manhattan NY 10021 (40.770288, -73.953276)",10021,40.77029,-73.9533,1.00 
Talent Unlimited High School,high,"317 East 67th Street, Manhattan NY 10065 (40.765638, -73.959777)",10065,40.76564,-73.9598,0.96 
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,high,"100 Amsterdam Avenue, Manhattan NY 10023 (40.774202, -73.985976)",10023,40.7742,-73.986,0.98 
Manhattan / Hunter Science High School,high,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",10023,40.77489,-73.9856,0.99 
High School of Arts and Technology,high,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",10023,40.77489,-73.9856,0.64 
The Maxine Greene High School for Imaginative Inquiry,high,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",10023,40.77489,-73.9856,0.78 
"High School for Law, Advocacy and Community Justice",high,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",10023,40.77489,-73.9856,0.73 
Special Music School,high,"129 West 67th Street, Manhattan NY 10023 (40.775256, -73.982976)",10023,40.77526,-73.983,
"Urban Assembly School for Media Studies, The",high,"122 Amsterdam Avenue, Manhattan NY 10023 (40.774891, -73.985608)",10023,40.77489,-73.9856,0.72 
"Metropolitan High School, The",high,"1180 Rev. J.A. Polite Ave., Bronx NY 10459 (40.827539, -73.896925)",10459,40.82754,-73.8969,0.65 
Holcombe L. Rucker School of Community Research,high,"965 Longwood Avenue, Bronx NY 10459 (40.817741, -73.897876)",10459,40.81774,-73.8979,0.59 
Bronx Career and College Preparatory High School,high,"800 Home Street, Bronx NY 10456 (40.826933, -73.900593)",10456,40.82693,-73.9006,0.46 
Banana Kelly High School,high,"965 Longwood Avenue, Bronx NY 10459 (40.817741, -73.897876)",10459,40.81774,-73.8979,0.41 
Bronx Latin,high,"800 Home Street, Bronx NY 10456 (40.826933, -73.900593)",10456,40.82693,-73.9006,0.85 
Orchard Collegiate Academy (Henry Street School),high,"220 Henry Street, Manhattan NY 10002 (40.713362, -73.986051)",10002,40.71336,-73.9861,0.64 
University Neighborhood High School,high,"200 Monroe Street, Manhattan NY 10002 (40.712269, -73.984128)",10002,40.71227,-73.9841,0.84 
"New Explorations into Science, Technology and Math High School (NEST+m)",high,"111 Columbia Street, Manhattan NY 10002 (40.719416, -73.979581)",10002,40.71942,-73.9796,0.98 
Bard High School Early College,high,"525 East Houston Street, Manhattan NY 10002 (40.718276, -73.976093)",10002,40.71828,-73.9761,0.97 
Richard R. Green High School of Teaching,high,"7 Beaver Street, Manhattan NY 10004 (40.705688, -74.013303)",10004,40.70569,-74.0133,0.62 
Leadership and Public Service High School,high,"90 Trinity Place, Manhattan NY 10006 (40.708971, -74.012465)",10006,40.70897,-74.0125,0.64 
"Urban Assembly School of Business for Young Women, The",high,"26 Broadway, Manhattan NY 10004 (40.705688, -74.013303)",10004,40.70569,-74.0133,0.76 
Millennium High School,high,"75 Broad Street, Manhattan NY 10004 (40.704697, -74.011202)",10004,40.7047,-74.0112,1.00 
Stuyvesant High School,high,"345 Chambers Street, Manhattan NY 10282 (40.718025, -74.013921)",10282,40.71803,-74.0139,0.99 
High School of Economics and Finance,high,"100 Trinity Place, Manhattan NY 10006 (40.70927, -74.012328)",10006,40.70927,-74.0123,0.74 
James Madison High School,high,"3787 Bedford Avenue, Brooklyn NY 11229 (40.610499, -73.947661)",11229,40.6105,-73.9477,0.81 
Leon M. Goldstein High School for the Sciences,high,"1830 Shore Boulevard, Brooklyn NY 11235 (40.578356, -73.934449)",11235,40.57836,-73.9344,0.99 
A. Philip Randolph Campus High School,high,"443 West 135th Street, Manhattan NY 10031 (40.8185, -73.949929)",10031,40.8185,-73.9499,0.83 
Academy for Social Action,high,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",10027,40.81575,-73.9555,0.58 
"High School for Mathematics, Science and Engineering at City College (HSMSE)",high,"240 Convent Ave, Manhattan NY 10031 (40.820208, -73.950354)",10031,40.82021,-73.9504,0.98 
Urban Assembly School for the Performing Arts,high,"509 West 129th Street, Manhattan NY 10027 (40.815747, -73.95552)",10027,40.81575,-73.9555,0.77 
Maspeth High School,high,"54-40 74th Street, Elmhurst NY 11373 (40.729104, -73.887909)",11373,40.7291,-73.8879,0.97 
Crotona Academy High School,high,"1211 Southern Boulevard, Bronx NY 10459 (40.816962, -73.912014)",10459,40.81696,-73.912,
Alfred E. Smith Career and Technical Education High School,high,"333 East 151st Street, Bronx NY 10451 (40.818645, -73.919949)",10451,40.81865,-73.9199,0.70 
Mott Haven Village Preparatory High School,high,"701 St. Anns Avenue, Bronx NY 10455 (40.818041, -73.911633)",10455,40.81804,-73.9116,0.45 
Bronx Design and Construction Academy,high,"333 East 151st Street, Bronx NY 10451 (40.818645, -73.919949)",10451,40.81865,-73.9199,0.53 
University Heights Secondary School,high,"701 St. Anns Avenue, Bronx NY 10455 (40.818041, -73.911633)",10455,40.81804,-73.9116,0.97 
Hostos-Lincoln Academy of Science,high,"600 Saint Ann'S Avenue, Bronx NY 10455 (40.814857, -73.912038)",10455,40.81486,-73.912,0.83 
Repertory Company High School for Theatre Arts,high,"123 West 43rd Street, Manhattan NY 10036 (40.756089, -73.984381)",10036,40.75609,-73.9844,1.00 
Jacqueline Kennedy Onassis High School,high,"120 West 46th Street, Manhattan NY 10036 (40.757626, -73.98346)",10036,40.75763,-73.9835,0.63 
Edward R. Murrow High School,high,"1600 Avenue L, Brooklyn NY 11230 (40.619671, -73.959141)",11230,40.61967,-73.9591,0.82 
Columbia Secondary School,high,"425 West 123rd Street, Manhattan NY 10027 (40.810793, -73.955722)",10027,40.81079,-73.9557,0.99 
Morris Academy for Collaborative Studies,high,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",10456,40.82746,-73.9039,0.65 
School for Tourism and Hospitality,high,"900 Tinton Avenue, Bronx NY 10456 (40.821723, -73.902892)",10456,40.82172,-73.9029,
School for Excellence,high,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",10456,40.82746,-73.9039,0.61 
Bronx International High School,high,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",10456,40.82746,-73.9039,0.72 
High School for Violin and Dance,high,"1110 Boston Road, Bronx NY 10456 (40.827455, -73.90392)",10456,40.82746,-73.9039,0.66 
South Bronx Preparatory: A College Board School,high,"360 East 145th Street, Bronx NY 10454 (40.813612, -73.920851)",10454,40.81361,-73.9209,0.92 
The Urban Assembly Bronx Academy of Letters,high,"339 Morris Avenue, Bronx NY 10451 (40.813681, -73.925995)",10451,40.81368,-73.926,0.64 
"HERO High (Health, Education, and Research Occupations High School)",high,"455 Southern Blvd, Bronx NY 10455 (40.810671, -73.907528)",10455,40.81067,-73.9075,
M.S. 223 The Laboratory School of Finance and Technology,high,"360 East 145th Street, Bronx NY 10454 (40.813612, -73.920851)",10454,40.81361,-73.9209,
International Community High School,high,"345 Brook Avenue, Bronx NY 10454 (40.810314, -73.918774)",10454,40.81031,-73.9188,0.58 
Young Women's Leadership School of the Bronx (TYWLS),high,"1865 Morris Avenue, Bronx NY 10453 (40.848552, -73.909022)",10453,40.84855,-73.909,
Theater Arts Production Company School (TaPCO),high,"2225 Webster Avenue, Bronx NY 10457 (40.854257, -73.897404)",10457,40.85426,-73.8974,0.77 
Flushing International High School,high,"144-80 Barclay Avenue, Flushing NY 11355 (40.759963, -73.818399)",11355,40.75996,-73.8184,0.72 
Manhattan Academy for Arts & Language,high,"111 East 33rd Street, Manhattan NY 10016 (40.74651, -73.98107)",10016,40.74651,-73.9811,0.54 
Murray Hill Academy,high,"111 East 33rd Street, Manhattan NY 10016 (40.74651, -73.98107)",10016,40.74651,-73.9811,
Unity Center for Urban Technologies,high,"111 East 33rd Street, Manhattan NY 10016 (40.74651, -73.98107)",10016,40.74651,-73.9811,0.79 
Ralph R. McKee Career and Technical Education High School,high,"290 St Marks Place, Staten Island NY 10301 (40.64282, -74.079263)",10301,40.64282,-74.0793,0.63 
Curtis High School,high,"105 Hamilton Avenue, Staten Island NY 10301 (40.645436, -74.082149)",10301,40.64544,-74.0821,0.76 
Staten Island Technical High School,high,"485 Clawson Street, Staten Island NY 10306 (40.568299, -74.117086)",10306,40.5683,-74.1171,0.99 
New Dorp High School,high,"465 New Dorp Lane, Staten Island NY 10306 (40.570909, -74.105878)",10306,40.57091,-74.1059,0.77 
Benjamin N. Cardozo High School,high,"57-00 223rd Street, Oakland Gardens NY 11364 (40.752343, -73.757271)",11364,40.75234,-73.7573,0.91 
Brooklyn Collegiate: A College Board School,high,"2021 Bergen Street, Brooklyn NY 11233 (40.674456, -73.912685)",11233,40.67446,-73.9127,0.64 
Eagle Academy for Young Men II,high,"1137 Herkimer Street, Brooklyn NY 11233 (40.678124, -73.915106)",11233,40.67812,-73.9151,0.95 
"Young Women's Leadership School, Astoria (TYWLS)",high,"23-15 Newtown Avenue, Astoria NY 11102 (40.770769, -73.92383)",11102,40.77077,-73.9238,0.96 
Robert H. Goddard High School of Communication Arts and Technology,high,"138-30 Lafayette Street, Ozone Park NY 11417 (40.670905, -73.845992)",11417,40.67091,-73.846,0.92 
Millennium Brooklyn HS,high,"237 7th Avenue, Brooklyn NY 11215 (40.669255, -73.97858)",11215,40.66926,-73.9786,0.95 
Park Slope Collegiate,high,"237 7th Avenue, Brooklyn NY 11215 (40.669255, -73.97858)",11215,40.66926,-73.9786,0.65 
John Jay School for Law (Secondary School for Law),high,"237 7th Avenue, Brooklyn NY 11215 (40.669255, -73.97858)",11215,40.66926,-73.9786,0.89 
Secondary School for Journalism,high,"237 7th Avenue, Brooklyn NY 11215 (40.669255, -73.97858)",11215,40.66926,-73.9786,0.64 
Bronx High School for the Visual Arts,high,"2040 Antin Pl, Bronx NY 10462 (40.851577, -73.864438)",10462,40.85158,-73.8644,0.52 
Port Richmond High School,high,"85 St Josephs Avenue, Staten Island NY 10302 (40.635562, -74.141924)",10302,40.63556,-74.1419,0.64 
High School for Public Service: Heroes of Tomorrow,high,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",11203,40.65867,-73.9438,0.96 
The School for Human Rights,high,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",11203,40.65867,-73.9438,0.81 
Arts & Media Preparatory Academy,high,"905 Winthrop Street, Brooklyn NY 11203 (40.659088, -73.928744)",11203,40.65909,-73.9287,0.48 
Brooklyn Institute for Liberal Arts (BILA),high,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",11203,40.65867,-73.9438,
School for Democracy and Leadership,high,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671, -73.943839)",11203,40.65867,-73.9438,0.54 
Energy Tech High School,high,"36-41 28th Street, Astoria NY 11106 (40.756471, -73.932628)",11106,40.75647,-73.9326,
Baccalaureate School for Global Education,high,"34-12 36th Avenue, Astoria NY 11106 (40.754975, -73.926977)",11106,40.75498,-73.927,1.00 
Newcomers High School,high,"28-01 41st Avenue, Long Island City NY 11101 (40.751838, -73.936592)",11101,40.75184,-73.9366,0.71 
Academy of American Studies,high,"28-04 41st Avenue, Long Island City NY 11101  (40.751144, -73.937564)",11101,40.75114,-73.9376,0.88 
Richmond Hill High School,high,"89-30 114th Street, Richmond Hill NY 11418 (40.695171, -73.833815)",11418,40.69517,-73.8338,0.55 
"High School for Construction Trades, Engineering and Architecture",high,"94-06 104th Street, Ozone Park NY 11416 (40.689177, -73.841475)",11416,40.68918,-73.8415,0.95 
Epic High School - North,high,"94-25 117th Street, South Richmond Hill NY 11419 (40.693013, -73.829409)",11419,40.69301,-73.8294,
Grover Cleveland High School,high,"21-27 Himrod Street, Ridgewood NY 11385 (40.711881, -73.909202)",11385,40.71188,-73.9092,0.63 
Bronx River High School,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,
Herbert H. Lehman High School,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,0.40 
Westchester Square Academy,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,
Schuylerville Preparatory High School,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,
Renaissance High School for Musical Theater & Technology,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,0.74 
Pelham Lab High School,high,"3000 East Tremont Avenue, Bronx NY 10461 (40.839775, -73.839583)",10461,40.83978,-73.8396,
Liberation Diploma Plus High School,high,"2865 West 19th Street, Brooklyn, NY 11224 (40.576976, -73.985413)",11224,40.57698,-73.9854,
Origins High School,high,"3000 Avenue X, Brooklyn NY 11235 (40.593157, -73.936635)",11235,40.59316,-73.9366,
Professional Pathways High School,high,"3000 Avenue X, Brooklyn NY 11235 (40.593157, -73.936635)",11235,40.59316,-73.9366,
NYC iSchool,high,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463, -74.005058)",10013,40.72463,-74.0051,0.99 
Chelsea Career and Technical Education High School,high,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463, -74.005058)",10013,40.72463,-74.0051,0.88 
York Early College Academy,high,"108-35 167th Street, Jamaica NY 11433 (40.69691, -73.786403)",11433,40.69691,-73.7864,0.94 
Epic High School - South,high,"121-10 Rockaway Boulevard, South Ozone Park NY 11420 (40.675021, -73.81673)",11420,40.67502,-73.8167,
John Adams High School,high,"101-01 Rockaway Boulevard, Ozone Park NY 11417 (40.680065, -73.838616)",11417,40.68007,-73.8386,0.62 
Excelsior Preparatory High School,high,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",11413,40.66903,-73.7577,0.75 
George Washington Carver High School for the Sciences,high,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",11413,40.66903,-73.7577,0.74 
Preparatory Academy for Writers: A College Board School,high,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",11413,40.66903,-73.7577,0.76 
August Martin High School,high,"156-10 Baisley Boulevard, Jamaica NY 11434 (40.673949, -73.782684)",11434,40.67395,-73.7827,0.25 
Queens Preparatory Academy,high,"143-10 Springfield Boulevard, Springfield Gardens NY 11413 (40.66903, -73.757744)",11413,40.66903,-73.7577,0.76 
In-Tech Academy (M.S. / High School 368),high,"2975 Tibbett Avenue, Bronx NY 10463 (40.877935, -73.913694)",10463,40.87794,-73.9137,0.84 
Bronx Engineering and Technology Academy,high,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",10463,40.87738,-73.9127,0.70 
Bronx School of Law and Finance,high,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",10463,40.87738,-73.9127,0.64 
Bronx Theatre High School,high,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",10463,40.87738,-73.9127,0.64 
Marble Hill High School for International Studies,high,"99 Terrace View Avenue, Bronx NY 10463 (40.877379, -73.912686)",10463,40.87738,-73.9127,0.91 
Eagle Academy for Young Men III,high,"171-10 Linden Boulevard, Jamaica NY 11434 (40.69172, -73.778924)",11434,40.69172,-73.7789,
Sunset Park High School,high,"153 35th Street, Brooklyn NY 11232 (40.655583, -74.004342)",11232,40.65558,-74.0043,0.67 
The Michael J. Petrides School,high,"715 Ocean Terrace, Staten Island NY 10301 (40.607637, -74.105883)",10301,40.60764,-74.1059,0.83 
CSI High School for International Studies,high,"100 Essex Drive, Staten Island NY 10314 (40.581958, -74.159343)",10314,40.58196,-74.1593,0.95 
Susan E. Wagner High School,high,"1200 Manor Road, Staten Island NY 10314 (40.588985, -74.130819)",10314,40.58899,-74.1308,0.79 
Gaynor McCown Expeditionary Learning School,high,"100 Essex Drive, Staten Island NY 10314 (40.581958, -74.159343)",10314,40.58196,-74.1593,0.81 
Academy for Language and Technology,high,"1700 Macombs Road, Bronx NY 10453 (40.849416, -73.915217)",10453,40.84942,-73.9152,0.94 
The Global Learning Collaborative,high,"145 West 84th Street, Manhattan NY 10024 (40.786134, -73.974483)",10024,40.78613,-73.9745,0.77 
Frank McCourt High School,high,"145 West 84th Street, Manhattan NY 10024 (40.786134, -73.974483)",10024,40.78613,-73.9745,0.92 
The Urban Assembly School for Green Careers,high,"145 West 84th Street, Manhattan NY 10024 (40.786134, -73.974483)",10024,40.78613,-73.9745,0.66 
"Celia Cruz Bronx High School of Music, The",high,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",10468,40.86906,-73.8971,0.92 
World View High School,high,"100 West Mosholu Parkway South, Bronx NY 10468 (40.879958, -73.889011)",10468,40.87996,-73.889,
High School for Teaching and the Professions,high,"2780 Reservoir Avenue, Bronx NY 10468 (40.869061, -73.897066)",10468,40.86906,-73.8971,0.59 
Bronx High School of Science,high,"75 West 205th Street, Bronx NY 10468 (40.879958, -73.889011)",10468,40.87996,-73.889,0.99 
"The Marie Curie School for Medicine, Nursing, and Health Professions",high,"120 West 231st Street, Bronx NY 10463 (40.875636, -73.901565)",10463,40.87564,-73.9016,0.69 
